year,dpi,pce,personal_saving,personal_interest_payments,personal_transfer_payments,outlays_implied,outlays_components,identity_residual,pce_share_dpi,personal_saving_share_dpi,personal_interest_payments_share_dpi,personal_transfer_payments_share_dpi
1960,376.07,331.18,37.85,6.218,0.821,338.21999999999997,338.21900000000005,0.0009999999999195097,0.8806339245353259,0.10064615630068871,0.016534155875235993,0.0021831042093227323
1961,393.326,341.475,44.386,6.488,0.977,348.94,348.94,0.0,0.868172965936653,0.11284786665514103,0.01649522279228935,0.002483944615916568
1962,417.282,362.557,46.702,6.926,1.097,370.58,370.58,0.0,0.868853676889969,0.11191951725691499,0.016597888238649165,0.0026289176144669553
1963,438.222,382.035,47.099,7.903,1.186,391.123,391.124,-0.0010000000000331966,0.8717841641907528,0.10747748857884816,0.018034238354076245,0.0027063908247417973
1964,476.124,410.632,55.282,8.897,1.313,420.84200000000004,420.842,5.684341886080802e-14,0.8624475976846367,0.11610840873385923,0.01868630860868177,0.002757684972822206
1965,512.995,442.973,58.75,9.895,1.376,454.245,454.24399999999997,0.0009999999999763531,0.8635035429195217,0.11452353336777162,0.01928868702424,0.002682287351728574
1966,553.961,479.919,61.861,10.619,1.562,492.1,492.1,0.0,0.8663407712817328,0.111670316141389,0.01916921949379108,0.0028196930830870766
1967,592.762,506.685,72.994,11.078,2.005,519.7679999999999,519.768,0.0,0.8547865753877611,0.12314217173165623,0.018688782344347312,0.003382470536235454
1968,643.928,556.852,72.927,12.11,2.038,571.001,571.0,0.0009999999999763531,0.8647737014076108,0.11325334509448262,0.01880645041060491,0.0031649501186468048
1969,695.83,603.639,76.057,13.891,2.243,619.773,619.773,0.0,0.8675093054337984,0.10930399666585229,0.01996320940459595,0.0032234884957532727
1970,761.975,646.724,97.588,15.095,2.567,664.3870000000001,664.3860000000001,0.0009999999999763531,0.8487470061353719,0.12807244332163129,0.019810361232323895,0.003368876931657863
1971,831.08,699.937,111.926,16.412,2.806,719.154,719.1550000000001,-0.00100000000009004,0.8422017134331231,0.1346753621793329,0.019747798045916157,0.0033763295952254895
1972,900.816,768.153,111.526,17.97,3.166,789.2900000000001,789.2890000000001,0.0009999999999763531,0.8527301912932275,0.12380552743290527,0.01994857995417488,0.0035145912150761085
1973,1008.373,849.575,135.813,19.596,3.389,872.5600000000001,872.5600000000001,0.0,0.8425205752236523,0.1346852801493098,0.01943328510382567,0.0033608595232121445
1974,1100.771,930.161,146.28,20.899,3.431,954.491,954.491,-2.2737367544323206e-13,0.8450086348568412,0.1328886753012207,0.018985783600767102,0.0031169062411709613
1975,1221.782,1030.547,164.029,23.375,3.831,1057.753,1057.753,0.0,0.8434786238461527,0.13425390126880246,0.019131890959270967,0.0031355839257739926
1976,1329.976,1147.666,154.386,23.531,4.394,1175.5900000000001,1175.591,-0.0009999999997489795,0.8629223384482125,0.11608179395718418,0.017692800471587455,0.0033038190162830005
1977,1461.357,1273.975,155.947,26.594,4.841,1305.4099999999999,1305.4099999999999,0.0,0.8717753430544349,0.10671382831163091,0.01819815418135336,0.003312674452580718
1978,1634.072,1422.252,175.066,31.323,5.431,1459.0059999999999,1459.006,-2.2737367544323206e-13,0.8703729089048708,0.10713481413303699,0.01916867800194851,0.0033235989601437393
1979,1813.796,1585.42,186.825,35.509,6.042,1626.971,1626.971,0.0,0.8740894786403763,0.10300221193563112,0.01957717405926576,0.0033311353647267937
1980,2024.946,1750.667,224.894,42.481,6.904,1800.052,1800.052,0.0,0.8645499682460668,0.11106172707815419,0.020978831040432685,0.0034094736353463256
1981,2257.42,1933.951,263.555,48.385,11.529,1993.865,1993.865,0.0,0.8567085433813822,0.11675053822505338,0.02143376066482976,0.005107157728734573
1982,2434.718,2071.256,291.199,58.458,13.804,2143.519,2143.518,0.0009999999997489795,0.8507170029547569,0.11960276303046186,0.024010172841372183,0.005669650448224394
1983,2628.837,2281.605,264.677,67.428,15.128,2364.16,2364.161,-0.0010000000002037268,0.8679142145366944,0.10068216477476542,0.025649365099471744,0.005754635985418647
1984,2910.758,2492.34,326.307,75.043,17.067,2584.451,2584.4500000000003,0.0009999999997489795,0.8562511895526871,0.11210378877254655,0.025781256978422807,0.0058634211432211135
1985,3105.08,2712.83,282.942,90.557,18.752,2822.138,2822.1389999999997,-0.0009999999997489795,0.8736747523413245,0.09112228992489727,0.029164143918997257,0.006039135867674907
1986,3293.387,2886.278,288.712,97.295,21.103,3004.675,3004.676,-0.0009999999997489795,0.8763859212415667,0.08766415850915789,0.02954253478258097,0.006407689105471055
1987,3457.219,3076.279,260.59,97.128,23.222,3196.629,3196.6290000000004,-4.547473508864641e-13,0.8898131706438036,0.07537561259497878,0.028094257262846235,0.0067169594983713795
1988,3774.082,3330.012,317.112,101.323,25.636,3456.97,3456.971,-0.0010000000002037268,0.882336949753609,0.08402361156964794,0.026847058436992095,0.006792645204847165
1989,4053.277,3576.758,335.417,113.058,28.045,3717.86,3717.861,-0.0009999999997489795,0.8824361128045283,0.082752054695497,0.02789298634166873,0.0069190928722611365
1990,4318.635,3808.994,360.635,118.434,30.572,3958.0,3958.0000000000005,0.0,0.8819902584960294,0.08350670987476366,0.02742394298198389,0.0070790886472230224
1991,4501.012,3943.449,400.964,119.946,36.653,4100.048,4100.048,-9.094947017729282e-13,0.8761249692291423,0.08908307731683453,0.026648673676053298,0.008143279777969933
1992,4804.692,4197.559,450.497,116.149,40.487,4354.195,4354.195000000001,-9.094947017729282e-13,0.8736374776988827,0.09376188941975885,0.02417407817192028,0.008426554709438192
1993,5004.111,4451.984,392.588,113.9,45.639,4611.523,4611.523,0.0,0.8896653171762178,0.07845309586458014,0.02276128567092137,0.009120301288280777
1994,5247.849,4720.965,357.2,119.862,49.822,4890.649,4890.649,0.0,0.8996000075459488,0.06806598284363745,0.02284021510527456,0.009493794505139153
1995,5534.953,4962.59,379.04,140.419,52.903,5155.9130000000005,5155.912,0.0010000000002037268,0.8965911724995677,0.06848115964128332,0.025369501782580628,0.009557985406560814
1996,5829.114,5244.596,369.937,157.015,57.566,5459.177,5459.177,0.0,0.8997243834997909,0.06346367561176536,0.02693634058280555,0.009875600305638216
