year,human_effort_share,domestic_capital_total_share,identified_it_rd_software_art_capital_share,other_capital_mixed_share,foreign_content_share,college_labor_share_digitized,noncollege_labor_share_digitized,indirect_import_share_digitized,direct_import_share_digitized,method
1997,0.5011947116011153,0.4080821409023379,0.062417572392941933,0.345664568509396,0.09072314749654681,0.22034430630489735,0.28085040529621796,0.049192339771157716,0.04153080772538909,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
1998,0.513574257727047,0.3922585165830503,0.057718120087092206,0.33454039649595807,0.09416722568990273,0.22473580160738038,0.2888384561196667,0.04999999999999878,0.044167225689903944,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
1999,0.5079732033958027,0.40387228406629416,0.07272509096743168,0.3311471930988625,0.08815451253790316,0.22619047619047625,0.2817827272053264,0.0405949668372963,0.04755954570060686,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2000,0.5041645415576994,0.39724728852345137,0.07487105575535558,0.3223762327680958,0.09858816991884924,0.22643086247642583,0.2777336790812736,0.046426351631600526,0.05216181828724871,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2001,0.5071548082058056,0.3950733803155143,0.07347458732288048,0.32159879299263383,0.09777181147868005,0.23308960874909113,0.2740651994567145,0.044242078003258495,0.05352973347542155,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2002,0.503998535790416,0.3972576082004104,0.07232180874857658,0.3249357994518338,0.09874385600917361,0.23789204739772368,0.2661064883926923,0.04402062677582881,0.0547232292333448,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2003,0.49473114241760496,0.40295558072809634,0.07553782012972682,0.3274177605983695,0.10231327685429871,0.2337856602035128,0.26094548221409214,0.04639306405168132,0.05592021280261739,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2004,0.48860836244581773,0.4043890110429809,0.07558844199449943,0.3288005690484815,0.10700262651120136,0.23572609573561212,0.2528822667102056,0.04985976936834422,0.05714285714285714,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2005,0.47718280838455923,0.4012823939444215,0.06699360978010849,0.334288784164313,0.1215347976710192,0.23149803286266157,0.24568477552189766,0.06433541968609878,0.05719937798492042,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2006,0.4726395893922716,0.4009389264423713,0.066415116918562,0.3345238095238093,0.12642148416535717,0.23176598965805886,0.24087359973421268,0.06685216893343192,0.05956931523192525,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2007,0.46739596348454293,0.4059936102714915,0.0710779838632804,0.3349156264082111,0.12661042624396557,0.2292828805882473,0.23811308289629562,0.06799119467366543,0.05861923157030013,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2008,0.4559782930389737,0.4150197269864816,0.07195048116577779,0.3430692458207038,0.12900197997454466,0.22576035291307456,0.23021794012589913,0.07081286196941018,0.05818911800513447,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2009,0.47030402898695595,0.41627525074625293,0.06271961898687506,0.3535556317593779,0.11342072026679104,0.23960757276300007,0.23069645622395588,0.060458132178603054,0.05296258808818798,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2010,0.45611874236874206,0.42353079212454287,0.06520655270655351,0.35832423941798935,0.12035046550671508,0.23317523911273896,0.22294350325600312,0.06443528693528665,0.055915178571428435,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2011,0.45092888130567355,0.424475043071708,0.06939352448377151,0.3550815185879365,0.12459607562261843,0.2339537072265911,0.21697517407908243,0.06864369467023748,0.05595238095238095,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2012,0.4592640846025894,0.418705359624899,0.06585163271265465,0.35285372691224437,0.12203055577251161,0.24259741793592263,0.21666666666666679,0.06617707298769143,0.05585348278482018,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
