year,real_wage_durables_1950_100,real_wage_food_1950_100,real_wage_energy_1950_100,real_wage_shelter_1950_100,energy_member
1950,100.0,100.0,100.0,100.0,linear-backcast
1951,102.1303207686771,98.89518785504048,108.94793552608799,105.78322374750962,linear-backcast
1952,107.09565065414962,102.70898967595873,114.1337754458421,107.32608481538236,linear-backcast
1953,114.88192008214257,111.07888263339419,120.39866257256485,108.52181588036481,linear-backcast
1954,120.46545753284512,113.56567336859639,121.91476980851769,108.34784104635277,linear-backcast
1955,128.49146110056927,120.5548664507261,126.37029892723886,111.91669612596304,linear-backcast
1956,135.3166426370891,126.30638550298922,132.24970342329487,116.3037409911209,linear-backcast
1957,137.83180246984566,128.65065580883325,138.39358610972025,118.01392817124362,CPIENGNS
1958,139.51704984979088,126.76267905130324,141.8310225227701,118.75404890802767,CPIENGNS
1959,143.69736787016683,134.7295850787813,145.72342261042817,122.75284348093163,CPIENGNS
1960,149.51575061061018,137.66915983495005,147.11910645657673,124.43111621496062,CPIENGNS
1961,153.42695345821838,139.55847150739908,150.44447894362773,126.4470373370321,CPIENGNS
1962,156.91144153067063,143.02417376090798,154.94566239780022,129.40552472710385,CPIENGNS
1963,161.02697595235816,145.00986432230368,159.02572328164888,131.31405203560095,CPIENGNS
1964,164.28054974485966,147.31276575470858,164.34043964112544,132.98459579194434,CPIENGNS
1965,171.0417131519043,149.46094381552263,167.35062924804353,135.41138338749323,CPIENGNS
1966,177.7198588060446,147.9208457030388,171.41980049675175,136.6415184425457,CPIENGNS
1967,182.6731639217277,153.3242607323795,174.92884266122826,138.00693773712916,CPIENGNS
1968,187.74647681132743,156.73345672907777,182.61306861335606,139.550525346858,CPIENGNS
1969,192.48971082625562,158.58980494077142,189.39435488527283,137.26720379740544,CPIENGNS
1970,194.91803954703659,158.8374500127368,195.01254783848873,133.17091508175437,CPIENGNS
1971,199.2583547331451,164.39638373687322,199.85597633677125,136.1579450545667,CPIENGNS
1972,209.89756970845607,169.47148813046442,209.13313824015967,140.17176061757002,CPIENGNS
1973,217.35638861237825,157.12015696099516,205.27312412949226,142.23896346262163,CPIENGNS
1974,217.45856326838697,147.25958762889155,170.3631364362667,138.92153427944558,CPIENGNS
1975,208.4277224166871,144.9482940679027,164.44527856740172,135.03153159865622,CPIENGNS
1976,209.747218771125,150.13829818574527,163.83780759263053,136.6552319075514,CPIENGNS
1977,213.20514156868637,151.80135039688415,160.8190568446984,137.6029539854983,CPIENGNS
1978,216.3340412346831,149.14661946494778,163.390360957357,135.06597366659054,CPIENGNS
1979,212.332528401391,145.08515149244775,140.85860473514924,127.92509952556158,CPIENGNS
1980,208.296488811879,144.29784919129298,116.23890065451339,117.51611312395335,CPIENGNS
1981,209.44598328537435,145.3213053239144,111.12374943421756,114.24251271985807,CPIENGNS
1982,208.79013467809244,147.77158430660288,115.87718341704053,112.87727091383891,CPIENGNS
1983,207.28393570081545,150.84500650660905,119.8514623144686,114.93135277163896,CPIENGNS
1984,203.84155191401211,150.37927791095308,122.84937496636576,113.49909794088731,CPIENGNS
1985,206.50726534801225,151.3292308552348,125.53858444507387,110.58179995366963,CPIENGNS
1986,211.36251941465812,149.8310475239233,147.74980213380448,107.12369359999448,CPIENGNS
1987,213.27856809202711,147.34026824446036,150.75276453334558,104.76509166130433,CPIENGNS
1988,215.7869569103677,146.04369378871888,154.4414813201754,103.18684157199854,CPIENGNS
1989,220.64535249004538,143.37331681084186,151.84977890697934,102.57375874552137,CPIENGNS
1990,226.93452446738877,140.91046241602237,145.91345540144226,101.2455382613377,CPIENGNS
1991,228.80235699172866,141.1341401797832,149.90647553548712,99.88562312933894,CPIENGNS
1992,229.28135448659717,142.8584194533819,152.74619503213992,98.99119521025105,CPIENGNS
1993,229.95254265553876,143.45299613219498,154.95181154832952,98.58068873587898,CPIENGNS
1994,229.25544293285552,143.69004144316017,158.25084788239812,98.1249778591126,CPIENGNS
1995,229.68804714564595,143.54173925705675,161.6727866102892,97.688370749323,CPIENGNS
1996,234.9024783657533,143.6480010280389,159.6759477438592,97.8226494478133,CPIENGNS
1997,245.14365694100013,145.39061703009153,163.7646108700685,98.55275907093355,CPIENGNS
1998,257.39629504874,148.03611615381192,184.66833363318693,99.24604126756226,CPIENGNS
1999,270.2326354495529,150.31328477560535,184.77559513746604,100.08952253169457,CPIENGNS
2000,282.00856703524573,152.67908035892796,164.221986839791,100.69169813039916,CPIENGNS
2001,294.40573607562186,153.6164554329824,164.24275455865893,100.73789409263563,CPIENGNS
2002,310.9847747087224,155.279015959165,179.60654581877856,99.91413963640728,CPIENGNS
2003,329.96585020590595,156.10154156455192,164.39060767325228,100.15888360446608,CPIENGNS
2004,344.93578402058137,154.07960945681953,151.33114739404073,99.59579788280153,CPIENGNS
2005,352.9944123438463,154.54353597557358,132.96162087629918,99.79849347156895,CPIENGNS
2006,369.1493105583027,156.8692441372206,124.21440163574246,100.2141348549914,CPIENGNS
2007,390.68865532107844,156.9092143916257,122.41741849858795,100.54740800738638,CPIENGNS
