year,employee_comp_share_resources,proprietors_share_resources,rental_share_resources,interest_share_resources,dividends_share_resources,transfers_share_resources
1950,0.6556468062521762,0.14175281915802393,0.0792201292323759,0.0514235516939435,0.03552885302686747,0.03642784063661295
1951,0.6596970412416505,0.139308566516989,0.07462881040736564,0.053219148210937546,0.03527876566635694,0.037867667956700296
1952,0.6634565366124591,0.13684520057870342,0.07027807230567507,0.055052944782664,0.03501484616078349,0.03935239955971485
1953,0.6669286269802117,0.13436666510545647,0.06615842627215444,0.056925212473346344,0.03473792939744116,0.04088313977138998
1954,0.6701168579191243,0.13187672658071464,0.062260351682173476,0.05883621808952707,0.0344488304913417,0.04246101523711867
1955,0.673024934514939,0.12937896942581195,0.05857435984146656,0.06078622088616076,0.03414834233553244,0.044087172996089115
1956,0.6756566758717567,0.12687679336921867,0.055091049599034055,0.06277546914949145,0.03383723368643272,0.045762778324066444
1957,0.6780159754132957,0.12437341271412117,0.05180115510272661,0.06480419668452665,0.033516247732921785,0.047489012352407996
1958,0.6801067667407922,0.12187185725615257,0.04869558620347584,0.06687261923203033,0.033186101097387025,0.049267069470161885
1959,0.6819329947519402,0.11937497461383784,0.0457654620637483,0.06898093083731416,0.03284748321773814,0.05109815451542136
