year,social_security_b,social_security_central_wage_exposure,social_security_funding_status,medicare_b,medicare_central_wage_exposure,medicare_funding_status,medicaid_b,medicaid_central_wage_exposure,ui_b,ui_wage_exposure,other_transfers_b,other_central_wage_exposure
1960,11.13,0.9932568807339451,held_from_first_anchor,0.0,0.0,program_not_yet_in_effect,0.0,0.51,3.079,1.0,10.219,0.51
1961,12.614,0.9932568807339451,held_from_first_anchor,0.0,0.0,program_not_yet_in_effect,0.0,0.51,4.401,1.0,11.073999999999998,0.51
1962,14.298,0.9932568807339451,held_from_first_anchor,0.0,0.0,program_not_yet_in_effect,0.0,0.51,3.182,1.0,11.363,0.51
1963,15.245,0.9932568807339451,held_from_first_anchor,0.0,0.0,program_not_yet_in_effect,0.0,0.51,3.061,1.0,12.035000000000002,0.51
1964,16.018,0.9932568807339451,held_from_first_anchor,0.0,0.0,program_not_yet_in_effect,0.0,0.51,2.776,1.0,12.523,0.51
1965,18.067,0.9932568807339451,held_from_first_anchor,0.0,0.0,program_not_yet_in_effect,0.0,0.51,2.365,1.0,13.480999999999996,0.51
1966,19.786,0.9932568807339451,held_from_first_anchor,1.008,0.82566,held_1970_mix_for_1966_1969,1.881,0.51,1.913,1.0,12.915999999999997,0.51
1967,21.122,0.9932568807339451,held_from_first_anchor,4.699,0.82566,held_1970_mix_for_1966_1969,2.72,0.51,2.237,1.0,14.974000000000002,0.51
1968,24.598,0.9932568807339451,held_from_first_anchor,5.89,0.82566,held_1970_mix_for_1966_1969,3.997,0.51,2.207,1.0,16.613999999999997,0.51
1969,26.382,0.9932568807339451,held_from_first_anchor,6.695,0.82566,held_1970_mix_for_1966_1969,4.551,0.51,2.327,1.0,19.017999999999997,0.51
1970,31.38,0.9932568807339451,held_from_first_anchor,7.254,0.82566,held_from_first_anchor,5.455,0.51,4.186,1.0,23.462000000000003,0.51
1971,36.617,0.9936429573664329,interpolated_between_anchors,8.049,0.8281879999999999,interpolated_between_anchors,6.744,0.51,6.16,1.0,27.84200000000001,0.51
1972,40.948,0.9940290339989207,interpolated_between_anchors,8.836,0.830716,interpolated_between_anchors,8.211,0.51,6.033,1.0,30.78000000000001,0.51
1973,50.665,0.9944151106314086,interpolated_between_anchors,10.244,0.833244,interpolated_between_anchors,9.611,0.51,4.57,1.0,33.538,0.51
1974,57.607,0.9948011872638964,interpolated_between_anchors,12.726,0.8357720000000001,interpolated_between_anchors,11.176,0.51,7.021,1.0,40.02600000000001,0.51
1975,65.895,0.9951872638963843,interpolated_between_anchors,15.633,0.8383,interpolated_between_anchors,13.863,0.51,18.14,1.0,49.603,0.51
1976,74.501,0.9955733405288721,interpolated_between_anchors,18.795,0.840828,interpolated_between_anchors,15.457,0.51,16.386,1.0,52.504,0.51
1977,83.239,0.9959594171613599,interpolated_between_anchors,22.101,0.8433559999999999,interpolated_between_anchors,16.737,0.51,13.129,1.0,54.276,0.51
1978,91.38,0.9963454937938478,interpolated_between_anchors,25.543,0.8458840000000001,interpolated_between_anchors,18.619,0.51,9.417,1.0,58.46799999999999,0.51
1979,102.581,0.9967315704263356,interpolated_between_anchors,29.936,0.8484119999999999,interpolated_between_anchors,21.067,0.51,9.692,1.0,64.05799999999999,0.51
1980,118.586,0.9971176470588234,observed_anchor,36.201,0.85094,observed_anchor,23.855,0.51,16.097,1.0,76.75899999999997,0.51
1981,138.644,0.9969742617995815,interpolated_between_anchors,43.499,0.8481550000000001,interpolated_between_anchors,27.746,0.51,15.885,1.0,82.03500000000004,0.51
1982,153.708,0.9968308765403393,interpolated_between_anchors,50.927,0.84537,interpolated_between_anchors,30.159,0.51,25.227,1.0,83.05800000000002,0.51
1983,164.426,0.9966874912810975,interpolated_between_anchors,57.797,0.8425850000000001,interpolated_between_anchors,33.871,0.51,26.411,1.0,87.99400000000003,0.51
1984,173.027,0.9965441060218554,interpolated_between_anchors,64.748,0.8398000000000001,interpolated_between_anchors,36.572,0.51,15.991,1.0,90.571,0.51
1985,183.275,0.9964007207626133,interpolated_between_anchors,69.72,0.837015,interpolated_between_anchors,39.673,0.51,15.861,1.0,94.58300000000004,0.51
1986,193.631,0.9962573355033713,interpolated_between_anchors,75.269,0.83423,interpolated_between_anchors,43.645,0.51,16.467,1.0,99.595,0.51
1987,200.995,0.9961139502441293,interpolated_between_anchors,81.585,0.8314450000000001,interpolated_between_anchors,47.836,0.51,14.625,1.0,102.87200000000004,0.51
1988,213.916,0.9959705649848872,interpolated_between_anchors,86.289,0.82866,interpolated_between_anchors,53.027,0.51,13.328,1.0,110.30399999999996,0.51
1989,227.38,0.9958271797256452,interpolated_between_anchors,98.175,0.825875,interpolated_between_anchors,60.838,0.51,14.41,1.0,120.26700000000002,0.51
1990,244.135,0.9956837944664032,observed_anchor,107.638,0.82309,observed_anchor,73.144,0.51,18.162,1.0,131.595,0.51
1991,264.204,0.9952112186618849,interpolated_between_anchors,117.487,0.822277,interpolated_between_anchors,96.911,0.51,26.787,1.0,145.11799999999997,0.51
1992,281.776,0.9947386428573665,interpolated_between_anchors,132.596,0.821464,interpolated_between_anchors,116.248,0.51,39.617,1.0,161.51299999999998,0.51
1993,297.935,0.9942660670528479,interpolated_between_anchors,146.785,0.8206510000000001,interpolated_between_anchors,130.104,0.51,34.848,1.0,169.26299999999995,0.51
1994,312.161,0.9937934912483296,interpolated_between_anchors,164.423,0.819838,interpolated_between_anchors,139.429,0.51,23.942,1.0,175.75299999999996,0.51
1995,327.675,0.9933209154438111,interpolated_between_anchors,181.22,0.819025,interpolated_between_anchors,149.57,0.51,21.734,1.0,184.52799999999985,0.51
1996,342.005,0.9928483396392929,interpolated_between_anchors,194.868,0.8182119999999999,interpolated_between_anchors,158.188,0.51,22.274,1.0,188.99000000000007,0.51
1997,356.592,0.9923757638347744,interpolated_between_anchors,206.917,0.817399,interpolated_between_anchors,163.124,0.51,20.103,1.0,188.68200000000004,0.51
1998,369.182,0.9919031880302559,interpolated_between_anchors,205.558,0.816586,interpolated_between_anchors,170.195,0.51,19.693,1.0,193.287,0.51
1999,379.864,0.9914306122257376,interpolated_between_anchors,208.736,0.8157730000000001,interpolated_between_anchors,184.555,0.51,20.509,1.0,198.53799999999995,0.51
2000,401.393,0.9909580364212193,observed_anchor,219.117,0.8149599999999999,observed_anchor,199.493,0.51,20.741,1.0,204.132,0.51
2001,425.084,0.9902327507073843,interpolated_between_anchors,242.58,0.8049829999999999,interpolated_between_anchors,227.259,0.51,31.899,1.0,219.00799999999984,0.51
2002,446.909,0.9895074649935491,interpolated_between_anchors,259.736,0.7950060000000001,interpolated_between_anchors,250.009,0.51,53.48,1.0,240.88799999999995,0.51
2003,463.531,0.9887821792797141,interpolated_between_anchors,276.708,0.785029,interpolated_between_anchors,264.526,0.51,53.175,1.0,263.0539999999999,0.51
2004,485.512,0.988056893565879,interpolated_between_anchors,304.359,0.775052,interpolated_between_anchors,289.812,0.51,36.425,1.0,288.36300000000017,0.51
2005,512.728,0.9873316078520438,interpolated_between_anchors,332.127,0.765075,interpolated_between_anchors,304.414,0.51,31.775,1.0,309.87300000000005,0.51
2006,544.096,0.9866063221382086,interpolated_between_anchors,399.107,0.7550979999999999,interpolated_between_anchors,299.1,0.51,30.366,1.0,320.36,0.51
2007,575.653,0.9858810364243736,interpolated_between_anchors,428.201,0.7451209999999999,interpolated_between_anchors,324.189,0.51,32.74,1.0,336.552,0.51
2008,605.542,0.9851557507105386,interpolated_between_anchors,461.613,0.7351439999999999,interpolated_between_anchors,338.333,0.51,51.148,1.0,462.7129999999998,0.51
2009,664.47,0.9844304649967035,interpolated_between_anchors,492.951,0.7251669999999999,interpolated_between_anchors,369.61,0.51,131.211,1.0,449.486,0.51
