,w_klp,w_manuf,kpi_total,c04,c041,c05,c081,vv,kpif04,leg_vv,leg_c05,leg_c081,leg_c04,leg_c041,leg_kpif04
1952,,3.47,,,,,,,,,,,,,
1953,,3.56,,,,,,,,,,,,,
1954,,3.74,,,,,,,,,,,,,
1955,,4.03,,,,,,,,,,,,,
1956,,4.37,,,,,,,,,,,,,
1957,,4.6,,,,,,,,,,,,,
1958,,4.86,,,,,,,,,,,,,
1959,,5.07,,,,,,,,,,,,,
1960,,5.45,,,,,,,,,,,,,
1961,,5.89,,,,,,,,,,,,,
1962,,6.33,,,,,,,,,,,,,
1963,,6.72,,,,,,,,,,,,,
1964,,7.27,,,,,,,,,,,,,
1965,,7.96,,,,,,,,,,,,,
1966,,8.67,,,,,,,,,,,,,
1967,,9.34,,,,,,,,,,,,,
1968,,9.92,,,,,,,,,,,,,
1969,,10.83,,,,,,,,,,,,,
1970,,12.08,,,,,,,,,,,,,
1971,,13.37,,,,,,,,,,,,,
1972,,14.9,,,,,,,,,,,,,
1973,,16.16,,,,,,,,,,,,,
1974,,18.11,,,,,,,,,,,,,
1975,,21.3,,,,,,,,,,,,,
1976,,24.23,,,,,,,,,,,,,
1977,,26.1,,,,,,,,,,,,,
1978,,27.96,,,,,,,,,,,,,
1979,,30.18,,,,,,,,,,,,,
1980,,33.4,29.7775,24.141666666666666,15.862499999999999,45.119166666666665,3166.0425,82.4375,,100.0,100.00000000000001,99.99999999999999,100.0,100.0,
1981,,36.15,33.37833333333334,27.573333333333334,17.598333333333333,49.0,3126.9874999999997,86.30583333333334,,103.3823732029409,99.66136349749479,109.58533259074775,94.76322077797983,97.55778479975365,
1982,,38.71,36.24666666666667,29.839166666666667,20.006666666666668,52.13333333333333,3036.241666666667,91.34666666666668,,104.59449159264304,100.30493026096144,120.85290913333193,93.76856363515046,91.89113234710186,
1983,,41.36,39.46083333333333,31.300833333333333,21.969166666666666,57.05166666666667,3244.9541666666664,102.46333333333332,,99.63006093606731,97.93249001981428,120.820947350909,95.50924508109523,89.41123935037788,
1984,,45.15,42.635,33.388333333333335,23.670833333333334,61.178333333333335,3304.558333333333,110.03583333333334,,101.27493284826784,99.69530726326244,129.51337046545322,97.74257953418774,90.5877296630116,
1985,,48.61,45.77666666666667,36.20583333333333,25.4875,64.91416666666667,3159.8591666666666,115.36749999999999,,103.99692196857504,101.158117286615,145.82371828779347,97.04381372362418,90.57817175849381,
1986,,51.86,47.718333333333334,37.13,27.47583333333333,68.51916666666666,2878.0499999999997,121.86416666666666,,105.0351924418974,102.24334348220965,170.80652272356315,100.95511911807948,89.6410236758596,
1987,,55.4,49.7125,38.44083333333334,29.636666666666667,71.79166666666667,2776.866666666667,129.61833333333334,28.605833333333333,105.49252268886767,104.2438234384394,189.1145793425034,104.16882206018711,88.77804507956306,100.0
1988,,59.67,52.60666666666666,41.05916666666667,31.979166666666668,75.96249999999999,2657.1091666666666,137.31583333333333,30.208333333333332,107.25406644275823,106.11368377281968,212.8712026487102,105.04289669124336,88.61639197175681,101.99387974604757
1989,,65.6,55.99916666666667,44.19083333333333,34.53666666666667,79.94916666666667,2558.601666666667,144.08416666666668,32.39416666666667,112.37402234991903,110.84203766452646,243.03646210631504,107.29819848883952,90.20873415797493,104.56392245004815
1990,,72.28,61.803333333333335,50.862500000000004,39.535833333333336,84.34666666666666,2594.6058333333335,149.9975,36.660000000000004,118.93576469787469,115.76168048032925,264.0687607357141,102.71673904586993,86.82652400655763,101.8053315240119
1991,,75.22,67.64083333333333,60.405833333333334,49.90166666666667,89.2625,2557.4358333333334,155.77333333333334,43.45416666666667,119.18416601274895,113.83580577257473,278.80390782355266,90.00678131094166,71.58853029720926,89.38131556929734
1992,,79.3,69.245,64.94166666666666,54.33833333333333,90.28083333333332,2471.345,157.5975,46.211666666666666,124.19445599354758,118.65669051422435,304.1655918218452,88.26134462756765,69.30938448227,88.60666576480145
1993,,80.8,72.51416666666667,68.65833333333333,58.885,91.7475,2470.3458333333333,166.3225,49.29333333333333,119.90538905954568,118.96842843917872,310.04439051757856,85.06264567599843,65.16761840164453,84.63851068629164
1994,,83.24,74.07833333333333,69.91333333333334,61.155,92.99166666666667,2455.8816666666667,170.34333333333333,50.47,120.61054397476694,120.92125418488229,321.2882980998531,86.05831628437603,64.6435605609972,85.16155955915717
1995,,87.03,75.89916666666666,71.56833333333334,63.055,95.95083333333334,2377.3508333333334,175.3025,51.95333333333334,122.53473614941221,122.52785636897056,347.01318819822984,87.89594956009128,65.55029066440903,86.49687265624384
1996,,93.88,76.3025,73.06666666666666,65.34666666666666,98.835,2151.4966666666664,174.33666666666667,54.19416666666667,132.91153968615797,128.3148490291133,413.6210920916464,92.8698123825342,68.22991183517478,89.44691728570349
1997,,97.2,76.80749999999999,72.545,67.415,98.53666666666668,1918.4350000000002,168.16833333333332,55.52166666666667,142.65939929142618,133.2548427720858,480.27441248463987,96.84552598572928,68.47544990120626,90.3958743353301
1998,,101.1,76.60083333333334,71.19333333333334,67.92333333333333,98.6875,1684.3500000000001,163.48583333333332,56.469166666666666,152.63332893908998,138.38965008551608,568.9696335354937,102.64377369430068,70.68989444186663,92.44525315482912
1999,,102.7,76.955,70.00833333333334,67.9175,98.88583333333334,1509.47,159.96666666666667,57.055,158.4598696959072,140.29783484361514,644.9354229658036,106.03310697970801,71.81479423455147,92.94404579953833
2000,,106.9,77.64416666666666,70.54416666666667,68.24,99.02749999999999,1299.0691666666667,154.66583333333332,57.775,170.59318020406693,145.82651364358708,780.0378989698909,109.5310825433112,74.39844446511434,95.53941776914783
2001,,110.3,79.51416666666667,73.325,69.39,101.13833333333334,1182.645,151.00833333333333,60.15166666666667,180.2822394502425,147.32427849013342,884.0796338148253,108.72870692301044,75.49249749528181,94.68314750309762
2002,,113.5,81.22916666666667,75.35916666666667,70.87333333333333,103.04083333333334,1098.3916666666667,151.04,61.92250000000001,185.47365511297323,148.79937332752266,979.5100714077092,108.86306474973443,76.0568213117552,94.64381085805647
2003,,117.1,82.78833333333334,78.6375,72.75166666666667,104.2075,977.245,149.22333333333333,65.82833333333333,193.68612218233355,151.80026196198156,1135.8571380077003,107.63362799119611,76.44324532763069,91.85205447674178
2004,,121.1,83.09833333333334,78.7625,75.00750000000001,102.9975,845.1691666666667,145.74416666666667,67.61749999999999,205.0837773145195,158.82982693560908,1358.2220350115808,111.13361279345767,76.67691314700865,92.47617809476102
2005,,124.7,83.47416666666668,79.04583333333333,76.8175,101.6825,709.1116666666667,141.115,69.36749999999999,218.10801208764838,165.6665549239828,1666.9481691333208,114.02714575066831,77.09593018213906,92.82292505728117
2006,,128.6,84.61,81.80583333333333,77.50083333333333,99.09583333333335,607.2508333333334,137.125,71.965,231.47424385504286,175.30737121392747,2007.4425382014567,113.62593707935928,78.80608714077958,92.27084081102066
2007,,134.1,86.48,85.09083333333334,78.73333333333333,99.56,517.0108333333334,134.47083333333333,73.06,246.13820417912973,181.9526951520823,2458.665278607969,113.9112934557488,80.8900879443484,94.7750340702118
2008,136.36666666666667,139.3,89.45416666666667,90.90583333333332,80.73083333333334,99.84249999999999,413.4675,128.48666666666665,76.0025,267.5909369192918,188.47348995826115,3193.596266264113,110.7592857406732,81.94771516866966,94.63854999386264
2009,139.85833333333332,143.7,89.01083333333334,86.02833333333332,83.335,101.5775,351.9058333333333,126.90333333333335,77.97666666666667,279.48730405543876,191.10579264792506,3870.798604360354,120.73579365476189,81.89445492527275,95.1561673159347
2010,143.35833333333332,146.2,90.04333333333334,85.89916666666666,84.69,100.92,307.05833333333334,123.66083333333334,80.20166666666667,291.805551458659,195.6972549154564,4513.326560437894,123.02098622921216,81.98613400192176,94.12582991566761
