release,year,country,h,comp,vintage
wiod13,1995,AUS,0.00022752357289801813,0.00316347697677741,
wiod13,1995,AUT,0.00019695215486305144,0.004910250129318135,
wiod13,1995,BEL,0.00015862222757994916,0.004695689012981802,
wiod13,1995,BGR,0.00013892408875655483,0.00021369316823784335,
wiod13,1995,BRA,0.002968286509833504,0.009333425157752644,
wiod13,1995,CAN,0.0004712194933888676,0.006523743819353304,
wiod13,1995,CHN,0.03609518993589968,0.016071563497588558,
wiod13,1995,CYP,2.126034017497525e-06,1.2696805724606624e-05,
wiod13,1995,CZE,0.00037953490022723906,0.0006881963203068683,
wiod13,1995,DEU,0.0024556666260304866,0.07398552665643268,
wiod13,1995,DNK,0.0001228595718517038,0.0031604857161056823,
wiod13,1995,ESP,0.0003801970084081317,0.00586870772070672,
wiod13,1995,EST,2.625947302272779e-05,4.093685208496922e-05,
wiod13,1995,FIN,0.00014927783053314924,0.0031805669482307315,
wiod13,1995,FRA,0.000944397654714623,0.02396354910482125,
wiod13,1995,GBR,0.0012941080204911164,0.021599483537950416,
wiod13,1995,GRC,6.887079292892454e-05,0.0004157114764112894,
wiod13,1995,HUN,0.00021369013845842335,0.0006046831703482985,
wiod13,1995,IDN,0.0011085777221681852,0.001427138858314644,
wiod13,1995,IND,0.00959647464308076,0.0033772410867394173,
wiod13,1995,IRL,9.356007523157617e-05,0.0012198384903028062,
wiod13,1995,ITA,0.0016017864662444298,0.02145369606981207,
wiod13,1995,JPN,0.005838135183775171,0.1491129391218088,
wiod13,1995,KOR,0.0023840002974879686,0.013253811921518935,
wiod13,1995,LTU,4.662428141885541e-05,4.2642449444964606e-05,
wiod13,1995,LUX,9.808472529596557e-06,0.0003130144003862899,
wiod13,1995,LVA,2.1708729646193172e-05,3.125006107589468e-05,
wiod13,1995,MEX,0.001403946917476938,0.0021547085882069688,
wiod13,1995,MLT,8.709447890631465e-06,3.424424370111801e-05,
wiod13,1995,NLD,0.00029617417855913315,0.006867413137519572,
wiod13,1995,POL,0.0005174694891090853,0.0013614351819275273,
wiod13,1995,PRT,0.000146630026638279,0.0011234059439536423,
wiod13,1995,ROU,0.0007591303244994973,0.0008342713181131716,
wiod13,1995,RUS,0.0036768919350619917,0.0036711080979753615,
wiod13,1995,SVK,0.00013487085611926412,0.0002166995636548895,
wiod13,1995,SVN,7.535122631030169e-05,0.0005293775534234256,
