year,cell,educg,n,wmed,wsum,n_all,n_ft
2000,ALL,<HS,9735,360.0,95595919.2999,131571,109980
2000,ALL,BA+,34408,903.0,312262912.74909997,131571,109980
2000,ALL,HS,34702,500.0,314174142.53779995,131571,109980
2000,ALL,SC,31135,600.0,279169660.4036,131571,109980
2000,1|25-34,<HS,2022,360.0,21152993.206699997,131571,109980
2000,1|25-34,BA+,5298,853.0,51675064.6512,131571,109980
2000,1|25-34,HS,5505,500.0,53213740.0164,131571,109980
2000,1|25-34,SC,4698,600.0,44991838.411800005,131571,109980
2000,1|35-44,<HS,1987,440.0,19895259.473,131571,109980
2000,1|35-44,BA+,5920,1131.0,54841880.7706,131571,109980
2000,1|35-44,HS,6807,608.0,61805514.251600005,131571,109980
2000,1|35-44,SC,5278,740.0,48424585.7038,131571,109980
2000,1|45-54,<HS,1307,432.0,12641576.2675,131571,109980
2000,1|45-54,BA+,5638,1136.0,49641763.232499994,131571,109980
2000,1|45-54,HS,4639,646.0,41241205.3945,131571,109980
2000,1|45-54,SC,4653,769.0,40316650.0133,131571,109980
2000,1|55-64,<HS,930,440.0,8541982.403099999,131571,109980
2000,1|55-64,BA+,2123,1153.0,18424574.461000003,131571,109980
2000,1|55-64,HS,2230,634.0,19472406.987699997,131571,109980
2000,1|55-64,SC,1557,750.0,13835093.6981,131571,109980
2000,2|25-34,<HS,869,300.0,8585536.0572,131571,109980
2000,2|25-34,BA+,4864,680.0,45611460.5489,131571,109980
2000,2|25-34,HS,3606,400.0,34083413.8395,131571,109980
2000,2|25-34,SC,4207,461.0,38954698.173700005,131571,109980
2000,2|35-44,<HS,1126,304.0,10802302.7209,131571,109980
2000,2|35-44,BA+,4637,807.0,40952379.7668,131571,109980
2000,2|35-44,HS,5296,425.0,46662705.5512,131571,109980
2000,2|35-44,SC,5038,525.0,43833939.7167,131571,109980
2000,2|45-54,<HS,915,310.0,8688905.9293,131571,109980
2000,2|45-54,BA+,4520,864.0,38762630.5739,131571,109980
2000,2|45-54,HS,4529,450.0,39388181.8551,131571,109980
2000,2|45-54,SC,4293,538.0,36829397.304900005,131571,109980
2000,2|55-64,<HS,579,320.0,5287363.2422,131571,109980
2000,2|55-64,BA+,1408,807.0,12353158.7442,131571,109980
2000,2|55-64,HS,2090,437.0,18306974.6418,131571,109980
2000,2|55-64,SC,1411,525.0,11983457.3813,131571,109980
2001,ALL,<HS,9845,380.0,93038972.7649,140387,116612
2001,ALL,BA+,36987,925.0,316028852.7494,140387,116612
2001,ALL,HS,36304,520.0,308465928.18009996,140387,116612
2001,ALL,SC,33476,615.0,282845407.77540004,140387,116612
2001,1|25-34,<HS,1988,400.0,20320950.8481,140387,116612
2001,1|25-34,BA+,5404,865.0,50316935.460999995,140387,116612
2001,1|25-34,HS,5584,520.0,51326857.49340001,140387,116612
2001,1|25-34,SC,4921,623.0,45213407.0664,140387,116612
2001,1|35-44,<HS,1984,440.0,19349988.1998,140387,116612
2001,1|35-44,BA+,6285,1153.0,55287218.8473,140387,116612
2001,1|35-44,HS,6989,631.0,59078827.5391,140387,116612
2001,1|35-44,SC,5588,769.0,47509782.9242,140387,116612
2001,1|45-54,<HS,1413,440.0,12785377.7002,140387,116612
2001,1|45-54,BA+,6206,1153.0,50661237.077999994,140387,116612
2001,1|45-54,HS,5135,660.0,42097482.771699995,140387,116612
2001,1|45-54,SC,5089,786.0,41617031.3361,140387,116612
2001,1|55-64,<HS,913,440.0,7950612.316699999,140387,116612
2001,1|55-64,BA+,2373,1230.0,19623537.6576,140387,116612
2001,1|55-64,HS,2377,669.0,20089812.8375,140387,116612
2001,1|55-64,SC,1782,775.0,15017429.320799999,140387,116612
2001,2|25-34,<HS,847,300.0,8177086.996300001,140387,116612
2001,2|25-34,BA+,5259,700.0,46235600.855900005,140387,116612
2001,2|25-34,HS,3607,400.0,31448652.3492,140387,116612
2001,2|25-34,SC,4306,480.0,37952122.3371,140387,116612
2001,2|35-44,<HS,1155,320.0,10683368.4589,140387,116612
2001,2|35-44,BA+,4895,844.0,40556653.0309,140387,116612
2001,2|35-44,HS,5425,448.0,45360237.29450001,140387,116612
2001,2|35-44,SC,5370,550.0,44050899.6791,140387,116612
2001,2|45-54,<HS,961,320.0,8792385.132,140387,116612
2001,2|45-54,BA+,4942,865.0,40218439.7753,140387,116612
2001,2|45-54,HS,4880,480.0,40073447.83930001,140387,116612
2001,2|45-54,SC,4722,576.0,37646236.721599996,140387,116612
2001,2|55-64,<HS,584,360.0,4979203.1129,140387,116612
2001,2|55-64,BA+,1623,865.0,13129230.0434,140387,116612
2001,2|55-64,HS,2307,461.0,18990610.0554,140387,116612
2001,2|55-64,SC,1698,560.0,13838498.390100002,140387,116612
2002,ALL,<HS,10208,400.0,92135731.1095,151664,125300
2002,ALL,BA+,40932,961.0,322109581.5467,151664,125300
2002,ALL,HS,38743,540.0,302890883.4643,151664,125300
2002,ALL,SC,35417,635.0,277452248.44879997,151664,125300
2002,1|25-34,<HS,2159,400.0,21017130.9599,151664,125300
2002,1|25-34,BA+,5792,903.0,49714748.5202,151664,125300
2002,1|25-34,HS,5735,548.0,48942724.577199996,151664,125300
2002,1|25-34,SC,5059,634.0,43185211.675000004,151664,125300
2002,1|35-44,<HS,2041,440.0,19006310.5014,151664,125300
2002,1|35-44,BA+,6736,1153.0,55486949.3412,151664,125300
2002,1|35-44,HS,7389,640.0,57955513.214099996,151664,125300
2002,1|35-44,SC,5724,769.0,45509500.670099996,151664,125300
2002,1|45-54,<HS,1490,440.0,13220457.1041,151664,125300
2002,1|45-54,BA+,6526,1200.0,49629303.0371,151664,125300
2002,1|45-54,HS,5739,673.0,43742464.9155,151664,125300
2002,1|45-54,SC,5461,800.0,41559317.9259,151664,125300
2002,1|55-64,<HS,967,480.0,8127459.9929,151664,125300
2002,1|55-64,BA+,3056,1173.0,22845703.0423,151664,125300
2002,1|55-64,HS,2685,665.0,20320544.0552,151664,125300
2002,1|55-64,SC,2033,807.0,15789950.6248,151664,125300
2002,2|25-34,<HS,837,310.0,7426995.1618,151664,125300
2002,2|25-34,BA+,5848,720.0,46619045.143,151664,125300
2002,2|25-34,HS,3641,420.0,29265784.2685,151664,125300
2002,2|25-34,SC,4495,495.0,36472890.6981,151664,125300
2002,2|35-44,<HS,1133,330.0,9789901.6439,151664,125300
2002,2|35-44,BA+,5460,865.0,42232570.2584,151664,125300
2002,2|35-44,HS,5639,461.0,42963715.710700005,151664,125300
2002,2|35-44,SC,5453,557.0,41503149.8747,151664,125300
2002,2|45-54,<HS,954,348.0,8317352.6272,151664,125300
2002,2|45-54,BA+,5491,880.0,40504614.9203,151664,125300
2002,2|45-54,HS,5261,480.0,39453932.670499995,151664,125300
2002,2|45-54,SC,5136,590.0,37626007.5193,151664,125300
2002,2|55-64,<HS,627,360.0,5230123.1183,151664,125300
2002,2|55-64,BA+,2023,880.0,15076647.2842,151664,125300
2002,2|55-64,HS,2654,481.0,20246204.052599996,151664,125300
2002,2|55-64,SC,2056,594.0,15806219.460900001,151664,125300
2003,ALL,<HS,9844,400.0,92044391.8306,148851,122338
2003,ALL,BA+,40411,961.53,326484385.8697,148851,122338
2003,ALL,HS,37595,559.4,299563152.6743,148851,122338
2003,ALL,SC,34488,640.0,275919072.23749995,148851,122338
2003,1|25-34,<HS,2045,400.0,21716676.504200004,148851,122338
2003,1|25-34,BA+,5507,923.07,48548661.728599995,148851,122338
2003,1|25-34,HS,5376,555.3,47679072.2299,148851,122338
2003,1|25-34,SC,4891,630.0,43194865.2299,148851,122338
2003,1|35-44,<HS,1973,440.0,19119791.0159,148851,122338
2003,1|35-44,BA+,6569,1210.0,55334332.4313,148851,122338
2003,1|35-44,HS,6898,649.2,56231403.170099996,148851,122338
2003,1|35-44,SC,5348,769.23,43539484.7699,148851,122338
2003,1|45-54,<HS,1466,460.0,13218682.776700001,148851,122338
2003,1|45-54,BA+,6407,1250.0,50263466.2586,148851,122338
2003,1|45-54,HS,5801,692.0,44463341.1988,148851,122338
2003,1|45-54,SC,5270,807.69,40548576.9943,148851,122338
2003,1|55-64,<HS,900,509.5,7678988.3024,148851,122338
2003,1|55-64,BA+,3173,1250.0,24558106.7611,148851,122338
2003,1|55-64,HS,2611,673.0,19847624.1272,148851,122338
2003,1|55-64,SC,2126,807.69,16290643.7625,148851,122338
2003,2|25-34,<HS,864,320.0,7911464.4942,148851,122338
2003,2|25-34,BA+,5636,741.5,46868863.8618,148851,122338
2003,2|25-34,HS,3531,432.5,29448917.4204,148851,122338
2003,2|25-34,SC,4200,500.0,35361862.7747,148851,122338
2003,2|35-44,<HS,1078,324.8,9598022.620000001,148851,122338
2003,2|35-44,BA+,5323,865.38,41881907.156,148851,122338
2003,2|35-44,HS,5296,480.0,40565825.7848,148851,122338
2003,2|35-44,SC,5277,576.0,41005729.2179,148851,122338
2003,2|45-54,<HS,916,358.0,7906539.3154,148851,122338
2003,2|45-54,BA+,5580,923.0,41906380.08499999,148851,122338
2003,2|45-54,HS,5332,492.0,40459274.908700004,148851,122338
2003,2|45-54,SC,5146,595.0,38811978.872,148851,122338
2003,2|55-64,<HS,602,360.0,4894226.8018,148851,122338
2003,2|55-64,BA+,2216,921.0,17122667.587300003,148851,122338
2003,2|55-64,HS,2750,500.0,20867693.834400002,148851,122338
2003,2|55-64,SC,2230,600.0,17165930.6163,148851,122338
2004,ALL,<HS,9616,400.0,91917355.8253,146100,119981
2004,ALL,BA+,40163,1000.0,333122847.201,146100,119981
2004,ALL,HS,36310,576.0,299908557.33500004,146100,119981
2004,ALL,SC,33892,673.0,277551763.8723,146100,119981
2004,1|25-34,<HS,1948,400.0,20837738.2973,146100,119981
2004,1|25-34,BA+,5541,903.0,50247246.099999994,146100,119981
2004,1|25-34,HS,5287,560.0,48630815.8667,146100,119981
2004,1|25-34,SC,4716,653.0,42332110.853,146100,119981
2004,1|35-44,<HS,1977,475.0,20035007.314400002,146100,119981
2004,1|35-44,BA+,6365,1250.0,55349750.2316,146100,119981
2004,1|35-44,HS,6573,673.07,55063418.277100004,146100,119981
2004,1|35-44,SC,5111,800.0,43311604.0847,146100,119981
2004,1|45-54,<HS,1441,475.0,13416820.9483,146100,119981
2004,1|45-54,BA+,6214,1250.0,50293163.7282,146100,119981
2004,1|45-54,HS,5827,700.0,46671709.5999,146100,119981
2004,1|45-54,SC,5195,850.0,41299769.2371,146100,119981
2004,1|55-64,<HS,882,498.0,7713148.822,146100,119981
2004,1|55-64,BA+,3322,1250.0,26170196.062700003,146100,119981
2004,1|55-64,HS,2689,692.0,20752804.232499998,146100,119981
2004,1|55-64,SC,2276,807.0,17194293.7021,146100,119981
2004,2|25-34,<HS,809,320.0,7665934.4845,146100,119981
2004,2|25-34,BA+,5610,760.0,47104099.608799994,146100,119981
2004,2|25-34,HS,3282,440.0,28608771.8023,146100,119981
2004,2|25-34,SC,4152,506.0,35725693.238800004,146100,119981
2004,2|35-44,<HS,1074,330.0,9641511.311099999,146100,119981
2004,2|35-44,BA+,5140,902.5,41817252.6003,146100,119981
2004,2|35-44,HS,4843,484.0,39254640.5253,146100,119981
2004,2|35-44,SC,4972,600.0,40048657.009399995,146100,119981
2004,2|45-54,<HS,937,350.0,8234509.0915,146100,119981
2004,2|45-54,BA+,5599,923.07,43244965.43599999,146100,119981
2004,2|45-54,HS,5161,506.0,40458817.3921,146100,119981
2004,2|45-54,SC,5169,609.6,39571640.155600004,146100,119981
2004,2|55-64,<HS,548,384.0,4372685.5561999995,146100,119981
2004,2|55-64,BA+,2372,961.53,18896173.4334,146100,119981
2004,2|55-64,HS,2648,519.23,20467579.6391,146100,119981
2004,2|55-64,SC,2301,600.0,18067995.5916,146100,119981
2005,ALL,<HS,9809,400.0,94545788.82440001,147120,121136
2005,ALL,BA+,40818,1000.0,340165907.1987,147120,121136
2005,ALL,HS,36148,576.92,303324687.6717,147120,121136
2005,ALL,SC,34361,673.07,284713139.7151,147120,121136
2005,1|25-34,<HS,2040,400.0,21649722.3043,147120,121136
2005,1|25-34,BA+,5475,923.07,49333321.2033,147120,121136
2005,1|25-34,HS,5302,570.0,49404546.0104,147120,121136
2005,1|25-34,SC,4845,650.0,43769782.4436,147120,121136
2005,1|35-44,<HS,1973,480.0,19521032.036700003,147120,121136
2005,1|35-44,BA+,6456,1298.07,56298678.007,147120,121136
2005,1|35-44,HS,6387,680.0,54827430.961899996,147120,121136
2005,1|35-44,SC,5180,807.0,44133441.32170001,147120,121136
2005,1|45-54,<HS,1512,480.0,14425351.5667,147120,121136
2005,1|45-54,BA+,6066,1346.0,49771574.9657,147120,121136
