year,gap_median,gap_min,gap_max,ratio_median,ratio_min,ratio_max,ratio_m10_base8991,ratio_m10_meanshare,ratio_m14_base8991,ratio_m14_meanshare,ratio_m15_base8991,ratio_m15_meanshare,ratio_raw,ratio_p1_fixedwt
1979,0.3604072600306282,0.35198338343924745,0.36257961397970645,1.433913271224286,1.421884896685509,1.4370316242385845,1.421884896685509,1.4229548078872363,1.4332003408192444,1.4346265562690437,1.435531648886805,1.4370316242385845,1.4065040650406504,1.3893565863423056
1980,0.3714724757203327,0.36177877621055154,0.3737182031779023,1.4498679389815792,1.4358812557291811,1.4531276060139242,1.4358812557291811,1.4362782397539904,1.4494893065330006,1.4502466703357035,1.452295499927817,1.4531276060139242,1.4423076923076923,1.394364624532228
1981,0.37834791933141243,0.36378002612687166,0.3818929581712242,1.4598707717917958,1.4387576902442107,1.465055254545689,1.4387576902442107,1.439653717174691,1.4590404473973753,1.4607015687149947,1.4632345758543626,1.465055254545689,1.4285714285714286,1.4028720238520929
1982,0.3931399090837281,0.37371296202087223,0.3971943542171978,1.48162566771846,1.453119989963915,1.4876450320419718,1.4543226913061527,1.453119989963915,1.4819215617265975,1.4813298327912257,1.4876450320419718,1.4871815117848608,1.46,1.429422598404041
1983,0.4119224628135188,0.3867088919105179,0.4170518615200552,1.509717372552956,1.4721278805553568,1.5174812097765924,1.47369085976307,1.4721278805553568,1.5099391388919898,1.509495638784976,1.5174812097765924,1.517274220322603,1.4705882352941178,1.4754206165014554
1984,0.43548831292311757,0.4055128346208772,0.44172857090678547,1.545717668606592,1.5000715914774614,1.5553935040846796,1.5021440260184344,1.5000715914774614,1.5462012506722407,1.5452342377836192,1.5553935040846796,1.5546614010736688,1.546875,1.4794166093184182
1985,0.45660074216281266,0.423074346522242,0.46363612081705885,1.578698450676055,1.5266477927014364,1.5898443539086644,1.529376860689394,1.5266477927014364,1.5793891238836781,1.5780080795026,1.5898443539086644,1.5887509894794647,1.5151515151515151,1.521715033389334
1986,0.48518028357135,0.444413839887468,0.4938354273088369,1.6244678473115104,1.559575766750981,1.638588871622318,1.5629847599360587,1.559575766750981,1.6254708254036068,1.623465488095519,1.638588871622318,1.6368858427876722,1.523391812865497,1.532507196840946
1987,0.5004915280581683,0.45370929527945814,0.5106063129260621,1.649531862662803,1.574140320931786,1.6663011886782262,1.5784073045248797,1.574140320931786,1.6510071309596335,1.6480579126016766,1.6663011886782262,1.66363814767289,1.5942857142857143,1.5949296553843793
1988,0.5058777404359189,0.4528298797492378,0.5178551012555838,1.658440562134931,1.572756606006187,1.6784237371004547,1.578843780508421,1.572756606006187,1.6610465985742489,1.655838614338237,1.6784237371004547,1.6734092047167808,1.613888888888889,1.5816868071590198
1989,0.5120514847640095,0.5046193271439788,0.5149028354766836,1.668711021121217,1.6563548710935547,1.6734758914104066,1.6603508617491893,1.6563548710935547,1.6712352683700926,1.6675581441361338,1.6734758914104066,1.6698646951551752,1.6,1.616372763158886
1990,0.5281944558828073,0.5195009068976627,0.5319855174168296,1.6958675789680937,1.6811883707575679,1.7023089193577485,1.6864751583439297,1.6811883707575679,1.6996042311219144,1.694497169030695,1.7023089193577485,1.697239097212683,1.6537467700258397,1.6585776103873724
1991,0.5305560746920318,0.5201626485844955,0.5343431756027982,1.699877304598672,1.6823012513650508,1.7063271168233134,1.6876477288376077,1.6823012513650508,1.7031341472821488,1.698235190065849,1.7063271168233134,1.7015210069799596,1.66,1.6479713614296234
1992,0.5567877581686683,0.5455484222198947,0.561456288421574,1.7450579393492756,1.7255544553339508,1.7532238416818082,1.732129005896762,1.7255544553339508,1.74961634779169,1.7432350489328214,1.7532238416818082,1.7468827359512853,1.75,1.6863250010371202
1993,0.55913857178413,0.5464599841069601,0.5634025693208089,1.7491650709718916,1.7271281221478652,1.7566394305264306,1.7330958263062701,1.7271281221478652,1.7526108509893585,1.7471040487425034,1.7566394305264306,1.7512285245462438,1.7073170731707317,1.728522899195901
1994,0.5713528026029667,0.5550284524018744,0.5756970296333795,1.7706607864640853,1.7419905478841071,1.7783696713637116,1.7470464225402191,1.7419905478841071,1.7730004145026916,1.7683242457678814,1.7783696713637116,1.7737728974106064,1.7281323877068555,1.7236207646720625
1995,0.576330955557983,0.5573297755058334,0.5810518523021021,1.7794973834071022,1.7460040473870775,1.7879180677620583,1.751196910621503,1.7460040473870775,1.7816157679922517,1.7773815176328722,1.7879180677620583,1.7838847337076265,1.7237442922374429,1.7122359596968284
1996,0.5698968255688657,0.5501503008115588,0.5756061332083309,1.7680846208978551,1.7335135467809806,1.7782080312645345,1.7413785489872353,1.7335135467809806,1.7718866785027314,1.7648409854487368,1.7782080312645345,1.7713342178874258,1.731981981981982,1.7085167866683482
1997,0.5709432189792334,0.54924600270648,0.5761311911542686,1.7699357013044033,1.7319466423466323,1.7791419386771787,1.7365597412902183,1.7319466423466323,1.7718232407448493,1.7680501726769193,1.7791419386771787,1.7755455920702385,1.700650759219089,1.6982432043243632
1998,0.5795071582790137,0.5715944968565233,0.5853624295535591,1.7851584133685676,1.7710887967228983,1.795641661326395,1.7804095160500908,1.7710887967228983,1.7930406296389916,1.783845377571965,1.795641661326395,1.7864724156519665,1.68125,1.7232566799234768
1999,0.5971238561842345,0.5875612729802921,0.6003671303739062,1.816885653919576,1.7995943402586434,1.822787878358905,1.8042543572421454,1.7995943402586434,1.8196208758368877,1.8152707498339802,1.822787878358905,1.8185019946587426,1.7653061224489797,1.7502076274578515
2000,0.5979151129253482,0.5870398589325806,0.6043455823571834,1.8183238458555684,1.7986562510771422,1.8300541971745867,1.8083535009865714,1.7986562510771422,1.8263433638371898,1.8164859197286223,1.8300541971745867,1.8201636316019103,1.806,1.79534352987178
2001,0.5981275651325759,0.5863566510623358,0.6041963645432605,1.81871019380886,1.79742781465704,1.829781140860864,1.8063635417229604,1.79742781465704,1.825775138044218,1.8167205606216927,1.829781140860864,1.8207020059993948,1.7788461538461535,1.7767250745532994
2002,0.5942083747493817,0.580921444304735,0.5992228406391802,1.8115962718206378,1.7876849241496113,1.8207032738243658,1.7949662622473066,1.7876849241496113,1.8162980224053884,1.8093593294301245,1.8207032738243658,1.8138359797819126,1.7796296296296297,1.7624362062047791
2003,0.587701338740017,0.5751201048090421,0.5930248061132875,1.7998464194605286,1.77734398165483,1.809453391665069,1.7849571587176458,1.77734398165483,1.8052615686103497,1.7977419547249247,1.809453391665069,1.8019533477153329,1.7188594923131928,1.778793045273239
2004,0.5954758702671974,0.58151557875594,0.6007720999100342,1.8138939177956437,1.788747364936032,1.823526201409545,1.796353563878298,1.788747364936032,1.8188737276404416,1.8115407033950335,1.823526201409545,1.8162501890516722,1.7361111111111112,1.767223735793796
2005,0.6082607131078344,0.5930769668997041,0.6128049131466247,1.837233142722486,1.8095477766385384,1.8456008956130856,1.8155513622852868,1.8095477766385384,1.8404528568442815,1.8346409121164033,1.8456008956130856,1.8398290359850975,1.733342577827082,1.795281729022538
2006,0.6113922733372438,0.5937570333405096,0.617638370661233,1.842995566944466,1.810778807898543,1.8545431226589595,1.8197368307644644,1.810778807898543,1.8485739203005616,1.839975708386566,1.8545431226589595,1.8460203818426417,1.7333333333333334,1.805900071278755
2007,0.6154606250434346,0.5966819325846697,0.6217284582113523,1.8505087939658127,1.8160829066609416,1.8621438997219273,1.8247792026431102,1.8160829066609416,1.8557324314524746,1.8472801931111251,1.8621438997219273,1.8537430376371764,1.78,1.7805084579257096
2008,0.6193133260997032,0.5990100612791722,0.6262735873272869,1.857652002639026,1.8203159069602952,1.8706268476218277,1.8299019347382173,1.8203159069602952,1.8636337633675077,1.8541480573350104,1.8706268476218277,1.8611625696540994,1.812506093795704,1.8115365095208096
2009,0.625675200730142,0.6033041068766123,0.634047961283069,1.8695078244255832,1.8281492327591666,1.8852264782264518,1.8401540066110902,1.8281492327591666,1.8774798560476034,1.865622745509066,1.8852264782264518,1.8734009938514085,1.8186119873817037,1.82261662462645
2010,0.6380745615723544,0.6142560346372101,0.6462208642607937,1.8928328353117243,1.8482810308663769,1.908315401741659,1.8597488741551402,1.8482810308663769,1.8999628051570971,1.8886450608792429,1.908315401741659,1.897029895477698,1.81993690851735,1.856184060793839
2011,0.6315788992145656,0.6085285248660005,0.6389305529189402,1.880577478734471,1.8377252412525447,1.8944537774965515,1.848070978887591,1.8377252412525447,1.8864800082101576,1.8765508569375284,1.8944537774965515,1.8846127406825905,1.802875,1.839109286048136
2012,0.6441520136465417,0.6171769644222772,0.6512525683342152,1.9043714633669622,1.8536876222735377,1.9179416780990883,1.8629720335476263,1.8536876222735377,1.9084749725297607,1.9002767773680465,1.9179416780990883,1.909973490193511,1.7514268366727384,1.859923072579112
2013,0.6490455618586457,0.6220350958694367,0.6555738057244036,1.9137134359908863,1.8627149907208829,1.9262474921632369,1.8694613179003,1.8627149907208829,1.916464543758005,1.9109662774718612,1.9262474921632369,1.9210134659070943,1.8235348097393853,1.8833470513337212
2014,0.6396985869166136,0.611664936986756,0.6468178050796117,1.8959093412943808,1.8434981533571928,1.9094548931707742,1.8514323916723596,1.8434981533571928,1.8994550995554196,1.8923702019850868,1.9094548931707742,1.9025502629388875,1.7828754810049474,1.8609918625968265
2015,0.6461058065730652,0.6166905424977882,0.6537757808561518,1.908095848014992,1.8527861672344315,1.9227871630810305,1.8622982799120056,1.8527861672344315,1.9123575481994144,1.90384364505481,1.9227871630810305,1.9144854407543554,1.809941176470588,1.869507587074965
