Date,Recent graduates,College graduates,NBER
1/1/1990,42.918,34.081,0
2/1/1990,43.244,34.085,0
3/1/1990,43.284,34.087,0
4/1/1990,44.533,34.215,0
5/1/1990,44.768,34.348,0
6/1/1990,45.038,34.219,0
7/1/1990,44.392,34.068,1
8/1/1990,43.812,33.523,1
9/1/1990,43.921,33.599,1
10/1/1990,44.137,33.652,1
11/1/1990,44.269,34.188,1
12/1/1990,44.619,34.259,1
1/1/1991,44.59,34.108,1
2/1/1991,44.633,33.874,1
3/1/1991,43.854,33.639,1
4/1/1991,43.503,33.591,0
5/1/1991,43.732,33.583,0
6/1/1991,44.124,33.743,0
7/1/1991,44.835,33.893,0
8/1/1991,44.351,33.945,0
9/1/1991,44.636,33.757,0
10/1/1991,44.606,33.664,0
11/1/1991,45.439,33.52,0
12/1/1991,45.211,33.317,0
1/1/1992,45.446,33.531,0
2/1/1992,46.378,34.1,0
3/1/1992,47.626,34.935,0
4/1/1992,48.024,35.048,0
5/1/1992,47.72,34.862,0
6/1/1992,47.274,34.642,0
7/1/1992,47.202,34.633,0
8/1/1992,47.251,34.696,0
9/1/1992,47.676,34.798,0
10/1/1992,48.151,34.654,0
11/1/1992,48.429,34.417,0
12/1/1992,48.344,34.185,0
1/1/1993,47.561,34.033,0
2/1/1993,46.906,34.019,0
3/1/1993,45.826,33.887,0
4/1/1993,45.827,34.061,0
5/1/1993,45.891,34.256,0
6/1/1993,46.435,34.358,0
7/1/1993,46.468,34.401,0
8/1/1993,46.772,34.382,0
9/1/1993,46.802,34.48,0
10/1/1993,46.616,34.298,0
11/1/1993,46.495,34.432,0
12/1/1993,46.707,34.605,0
1/1/1994,47.59,34.989,0
2/1/1994,48.077,34.941,0
3/1/1994,47.888,34.75,0
4/1/1994,47.321,34.429,0
5/1/1994,46.789,34.081,0
6/1/1994,47.109,33.94,0
7/1/1994,47.21,33.768,0
8/1/1994,46.544,33.657,0
9/1/1994,45.36,33.427,0
10/1/1994,44.474,33.363,0
11/1/1994,44.392,33.316,0
12/1/1994,44.771,33.139,0
1/1/1995,44.722,32.872,0
2/1/1995,44.94,32.532,0
3/1/1995,44.886,32.39,0
4/1/1995,45.021,32.414,0
5/1/1995,44.803,32.533,0
6/1/1995,44.592,32.668,0
7/1/1995,44.233,32.731,0
8/1/1995,44.408,32.872,0
9/1/1995,44.299,33.24,0
10/1/1995,44.17,33.204,0
11/1/1995,43.527,32.873,0
12/1/1995,42.763,32.461,0
1/1/1996,42.11,32.33,0
2/1/1996,42.086,32.619,0
3/1/1996,42.58,32.745,0
4/1/1996,43.35,32.958,0
5/1/1996,43.819,32.961,0
6/1/1996,44.207,32.847,0
7/1/1996,44.377,33.108,0
8/1/1996,43.931,33.101,0
9/1/1996,43.198,33.341,0
10/1/1996,42.808,33.23,0
11/1/1996,42.783,33.042,0
12/1/1996,42.594,32.667,0
1/1/1997,42.571,32.259,0
2/1/1997,41.988,32.123,0
3/1/1997,41.942,32.138,0
4/1/1997,41.558,32.184,0
5/1/1997,41.383,32.425,0
6/1/1997,40.973,32.52,0
7/1/1997,41.258,32.594,0
8/1/1997,40.793,32.488,0
9/1/1997,41.197,32.444,0
10/1/1997,40.952,32.571,0
11/1/1997,42.12,32.879,0
12/1/1997,41.936,33.114,0
1/1/1998,41.726,33.242,0
2/1/1998,40.731,33.061,0
3/1/1998,40.156,32.901,0
4/1/1998,39.418,32.616,0
5/1/1998,39.261,32.573,0
6/1/1998,39.632,32.588,0
7/1/1998,40.078,32.51,0
8/1/1998,40.435,32.289,0
9/1/1998,40.849,31.986,0
10/1/1998,41.218,31.791,0
11/1/1998,41.703,31.889,0
12/1/1998,41.832,32.068,0
1/1/1999,41.585,32.249,0
2/1/1999,41.544,32.264,0
3/1/1999,40.722,32.072,0
4/1/1999,40.657,31.905,0
5/1/1999,40.053,31.667,0
6/1/1999,39.554,31.648,0
7/1/1999,38.505,31.539,0
8/1/1999,38.123,31.586,0
9/1/1999,38.225,31.677,0
10/1/1999,38.403,31.869,0
11/1/1999,38.278,31.96,0
12/1/1999,37.992,31.942,0
1/1/2000,37.86,31.799,0
2/1/2000,38.03,31.696,0
3/1/2000,38.522,31.619,0
4/1/2000,38.851,31.642,0
5/1/2000,39.102,31.518,0
6/1/2000,38.053,31.363,0
7/1/2000,37.748,31.504,0
8/1/2000,37.069,31.683,0
9/1/2000,37.914,31.829,0
10/1/2000,38.651,31.86,0
11/1/2000,38.772,31.784,0
12/1/2000,38.8,31.772,0
1/1/2001,37.939,31.572,0
2/1/2001,37.393,31.711,0
3/1/2001,36.702,31.705,1
4/1/2001,36.571,31.662,1
5/1/2001,37.244,31.528,1
6/1/2001,37.879,31.497,1
7/1/2001,38.678,31.642,1
8/1/2001,38.696,31.739,1
9/1/2001,38.436,32.0,1
10/1/2001,37.925,32.042,1
11/1/2001,37.982,32.214,1
12/1/2001,38.552,32.145,0
1/1/2002,39.552,32.135,0
2/1/2002,39.76,32.211,0
3/1/2002,39.957,32.374,0
4/1/2002,38.796,32.519,0
5/1/2002,38.498,32.523,0
6/1/2002,37.847,32.645,0
7/1/2002,38.103,32.638,0
8/1/2002,38.142,32.587,0
9/1/2002,37.937,32.312,0
10/1/2002,37.574,32.11,0
11/1/2002,37.627,32.055,0
12/1/2002,37.994,32.182,0
1/1/2003,38.837,32.602,0
2/1/2003,39.352,32.805,0
3/1/2003,40.506,33.114,0
4/1/2003,41.53,33.593,0
5/1/2003,42.373,33.938,0
6/1/2003,42.444,34.024,0
7/1/2003,42.401,33.801,0
8/1/2003,42.483,33.675,0
9/1/2003,42.402,33.52,0
10/1/2003,41.803,33.497,0
11/1/2003,41.379,33.562,0
12/1/2003,41.168,33.686,0
1/1/2004,42.268,33.782,0
2/1/2004,43.334,33.776,0
3/1/2004,44.773,33.858,0
4/1/2004,45.522,33.934,0
5/1/2004,45.488,34.118,0
6/1/2004,44.831,34.277,0
7/1/2004,43.984,34.317,0
8/1/2004,43.656,34.318,0
9/1/2004,44.038,34.276,0
10/1/2004,44.589,34.207,0
11/1/2004,45.132,34.196,0
12/1/2004,44.817,34.249,0
1/1/2005,44.057,34.24,0
2/1/2005,43.702,34.319,0
3/1/2005,43.238,34.342,0
4/1/2005,43.289,34.45,0
5/1/2005,42.734,34.41,0
6/1/2005,42.634,34.434,0
7/1/2005,42.756,34.337,0
8/1/2005,42.598,34.206,0
9/1/2005,42.74,34.128,0
10/1/2005,42.819,34.197,0
11/1/2005,43.222,34.315,0
12/1/2005,43.878,34.393,0
1/1/2006,43.953,34.481,0
2/1/2006,43.484,34.451,0
3/1/2006,42.536,34.425,0
4/1/2006,41.862,34.108,0
5/1/2006,42.118,34.122,0
6/1/2006,43.033,34.145,0
7/1/2006,43.397,34.495,0
8/1/2006,43.639,34.625,0
9/1/2006,43.473,34.597,0
10/1/2006,43.561,34.578,0
11/1/2006,43.428,34.509,0
12/1/2006,43.391,34.671,0
1/1/2007,43.221,34.426,0
2/1/2007,43.007,34.245,0
3/1/2007,42.623,33.906,0
4/1/2007,42.033,33.668,0
5/1/2007,41.63,33.741,0
6/1/2007,41.267,33.77,0
7/1/2007,41.78,34.235,0
8/1/2007,42.276,34.215,0
9/1/2007,42.495,34.231,0
10/1/2007,42.024,34.081,0
11/1/2007,41.305,33.913,0
12/1/2007,40.843,33.784,1
1/1/2008,40.598,33.778,1
2/1/2008,40.938,33.983,1
3/1/2008,41.809,34.19,1
4/1/2008,43.011,34.129,1
5/1/2008,43.449,33.936,1
6/1/2008,42.896,33.477,1
7/1/2008,42.331,33.23,1
8/1/2008,42.553,33.191,1
9/1/2008,43.052,33.545,1
10/1/2008,43.316,33.732,1
11/1/2008,43.356,33.96,1
12/1/2008,43.767,34.035,1
1/1/2009,44.325,34.048,1
2/1/2009,44.538,33.86,1
3/1/2009,44.249,33.682,1
4/1/2009,44.135,33.686,1
5/1/2009,43.602,33.657,1
6/1/2009,43.593,33.67,1
7/1/2009,43.803,33.808,0
8/1/2009,44.069,34.095,0
9/1/2009,44.27,34.296,0
10/1/2009,44.147,34.273,0
11/1/2009,44.626,34.18,0
12/1/2009,44.627,34.069,0
1/1/2010,44.587,34.098,0
2/1/2010,44.616,34.131,0
3/1/2010,44.692,34.368,0
4/1/2010,44.749,34.487,0
5/1/2010,45.092,34.673,0
6/1/2010,45.499,34.777,0
7/1/2010,45.766,34.911,0
8/1/2010,45.851,34.96,0
9/1/2010,45.928,35.006,0
10/1/2010,46.086,34.936,0
11/1/2010,46.073,34.832,0
12/1/2010,45.77,34.583,0
1/1/2011,45.382,34.395,0
2/1/2011,44.402,34.237,0
3/1/2011,43.371,34.019,0
4/1/2011,42.786,34.008,0
5/1/2011,43.251,34.189,0
6/1/2011,44.002,34.355,0
7/1/2011,43.959,34.443,0
8/1/2011,43.611,34.324,0
9/1/2011,43.347,34.395,0
10/1/2011,43.701,34.482,0
11/1/2011,44.069,34.541,0
12/1/2011,45.451,34.729,0
1/1/2012,46.606,34.846,0
2/1/2012,47.441,34.969,0
3/1/2012,47.261,34.852,0
4/1/2012,46.504,34.636,0
5/1/2012,45.559,34.557,0
6/1/2012,45.173,34.563,0
7/1/2012,45.27,34.655,0
8/1/2012,45.296,34.626,0
9/1/2012,45.059,34.505,0
10/1/2012,44.681,34.343,0
11/1/2012,44.63,34.355,0
12/1/2012,44.922,34.402,0
1/1/2013,45.522,34.591,0
2/1/2013,45.748,34.655,0
3/1/2013,45.841,34.839,0
4/1/2013,45.852,34.923,0
5/1/2013,46.968,34.968,0
6/1/2013,46.543,35.025,0
7/1/2013,46.697,34.929,0
8/1/2013,46.284,34.747,0
9/1/2013,47.085,34.632,0
10/1/2013,47.407,34.567,0
11/1/2013,46.964,34.622,0
12/1/2013,46.614,34.681,0
1/1/2014,45.844,35.017,0
2/1/2014,45.586,35.131,0
3/1/2014,45.203,35.08,0
4/1/2014,45.251,34.832,0
5/1/2014,45.567,34.725,0
6/1/2014,46.126,34.65,0
7/1/2014,46.359,34.683,0
8/1/2014,46.056,34.698,0
9/1/2014,44.535,34.678,0
10/1/2014,43.737,34.424,0
11/1/2014,43.174,34.299,0
12/1/2014,43.5,34.253,0
1/1/2015,43.793,34.389,0
2/1/2015,44.356,34.661,0
3/1/2015,45.404,34.819,0
4/1/2015,45.458,34.821,0
5/1/2015,45.618,34.756,0
6/1/2015,45.177,34.649,0
7/1/2015,44.785,34.607,0
8/1/2015,44.479,34.54,0
9/1/2015,43.725,34.456,0
10/1/2015,44.478,34.624,0
11/1/2015,45.286,34.695,0
12/1/2015,46.587,35.029,0
1/1/2016,46.374,34.894,0
2/1/2016,45.037,34.649,0
3/1/2016,43.84,34.213,0
4/1/2016,43.286,34.03,0
5/1/2016,43.616,34.002,0
6/1/2016,43.289,34.006,0
7/1/2016,43.545,34.155,0
8/1/2016,43.7,34.304,0
9/1/2016,44.244,34.555,0
10/1/2016,43.872,34.666,0
11/1/2016,43.444,34.802,0
12/1/2016,43.881,34.808,0
1/1/2017,44.504,34.819,0
2/1/2017,44.902,34.726,0
3/1/2017,44.524,34.648,0
4/1/2017,44.168,34.474,0
5/1/2017,43.8,34.302,0
6/1/2017,43.172,34.249,0
7/1/2017,42.825,34.313,0
8/1/2017,42.85,34.677,0
9/1/2017,43.049,34.679,0
10/1/2017,43.61,34.736,0
11/1/2017,43.377,34.443,0
12/1/2017,43.12,34.374,0
1/1/2018,42.187,33.968,0
2/1/2018,41.644,33.759,0
3/1/2018,41.714,33.667,0
4/1/2018,41.883,34.015,0
5/1/2018,41.916,34.263,0
6/1/2018,42.015,34.586,0
7/1/2018,41.205,34.553,0
8/1/2018,40.786,34.476,0
9/1/2018,40.36,34.228,0
10/1/2018,40.992,34.098,0
11/1/2018,41.86,34.05,0
12/1/2018,42.456,34.048,0
1/1/2019,42.32,34.095,0
2/1/2019,41.813,34.15,0
3/1/2019,41.297,34.218,0
4/1/2019,41.141,34.294,0
5/1/2019,41.526,34.355,0
6/1/2019,41.218,34.298,0
7/1/2019,40.868,34.239,0
8/1/2019,40.379,34.002,0
9/1/2019,41.42,33.996,0
10/1/2019,42.057,33.795,0
11/1/2019,42.568,33.606,0
12/1/2019,41.546,33.376,0
1/1/2020,41.298,33.543,0
2/1/2020,41.342,33.907,1
3/1/2020,41.59,34.103,1
4/1/2020,40.477,33.367,1
5/1/2020,38.953,32.566,0
6/1/2020,38.108,31.794,0
7/1/2020,39.129,31.982,0
8/1/2020,41.117,32.527,0
9/1/2020,43.042,33.147,0
10/1/2020,43.398,33.488,0
11/1/2020,42.33,33.485,0
12/1/2020,40.893,33.357,0
1/1/2021,40.26,33.296,0
2/1/2021,40.046,33.314,0
3/1/2021,40.145,33.458,0
4/1/2021,40.476,33.641,0
5/1/2021,40.536,33.729,0
6/1/2021,40.67,33.707,0
7/1/2021,40.727,33.349,0
8/1/2021,41.257,33.225,0
9/1/2021,41.442,33.124,0
10/1/2021,41.637,33.492,0
11/1/2021,41.604,33.608,0
12/1/2021,41.638,33.873,0
1/1/2022,41.554,33.887,0
2/1/2022,41.343,33.845,0
3/1/2022,41.152,33.7,0
4/1/2022,41.155,33.654,0
5/1/2022,41.044,33.585,0
6/1/2022,40.831,33.564,0
7/1/2022,40.143,33.163,0
8/1/2022,40.107,33.159,0
9/1/2022,39.549,33.012,0
10/1/2022,39.588,33.311,0
11/1/2022,38.974,33.34,0
12/1/2022,38.305,33.41,0
1/1/2023,38.066,33.315,0
2/1/2023,38.497,33.177,0
3/1/2023,39.314,33.06,0
4/1/2023,39.533,33.035,0
5/1/2023,39.315,33.016,0
6/1/2023,40.106,33.289,0
7/1/2023,40.072,33.511,0
8/1/2023,40.515,33.507,0
9/1/2023,40.118,33.187,0
10/1/2023,40.322,32.748,0
11/1/2023,40.249,32.438,0
12/1/2023,40.388,32.409,0
1/1/2024,40.779,32.548,0
2/1/2024,40.908,32.886,0
3/1/2024,40.724,33.037,0
4/1/2024,40.701,33.154,0
5/1/2024,40.533,33.127,0
6/1/2024,40.694,33.003,0
7/1/2024,40.679,32.823,0
8/1/2024,40.713,32.828,0
9/1/2024,40.408,32.839,0
10/1/2024,39.658,32.896,0
11/1/2024,39.172,32.894,0
12/1/2024,38.624,32.996,0
1/1/2025,39.161,33.287,0
2/1/2025,40.215,33.447,0
3/1/2025,41.313,33.439,0
4/1/2025,41.235,33.347,0
5/1/2025,41.158,33.452,0
6/1/2025,41.479,33.809,0
7/1/2025,41.849,34.113,0
8/1/2025,41.722,34.152,0
9/1/2025,41.796,34.234,0
10/1/2025,42.211,34.292,0
11/1/2025,42.365,34.4,0
12/1/2025,42.259,34.363,0
1/1/2026,41.89,34.336,0
2/1/2026,41.558,34.302,0
3/1/2026,41.469,34.187,0
4/1/2026,41.58,33.954,0
5/1/2026,41.82,33.807,0
