year,gap_median,relsupply,CE_eff,HE_eff,D_KM141,gapcf_KM141,shortfall_KM141,D_GK164,gapcf_GK164,shortfall_GK164,D_CL250,gapcf_CL250,shortfall_CL250
1979,0.3604072600306282,-0.3282984910333011,269648707.9722775,374435111.6437388,0.17987574560988462,,,0.2627694154169291,,,0.5727196590432693,,
1980,0.3714724757203327,-0.2809444893557928,280875148.29378814,371985452.68830866,0.24283170140987625,,,0.3282703708255528,,,0.6477366999450389,,
1981,0.37834791933141243,-0.25196165876126725,292061844.2565995,375751204.41982025,0.28150890749602425,,,0.36852892894224915,,,0.6939081395672639,,
1982,0.3931399090837281,-0.1966887229588827,300625337.5204737,365970777.21817577,0.3576385488491738,,,0.4480607279384313,,,0.7861610497504374,,
1983,0.4119224628135188,-0.1528719510005821,313767802.6831724,365594641.029328,0.42793872156647933,,,0.5226808880135887,,,0.876934206033215,,
1984,0.43548831292311757,-0.1421051132768616,334016832.85820806,385020470.4070289,0.47193340794473415,,,0.5720957199170512,,,0.9466156690309324,,
1985,0.45660074216281266,-0.12469170864054217,350481712.56714493,397025392.05652314,0.5191153378090236,,,0.6241335085064705,,,1.0168101467664896,,
1986,0.48518028357135,-0.10344208626871536,366334575.07631606,406258290.83777183,0.5806621135668881,,,0.6922535787882986,,,1.1095086226596598,,
1987,0.5004915280581683,-0.08785715781532469,382021028.8963203,417102841.78315514,0.6178358967466926,,,0.7329489482000714,,,1.163371662330096,,
1988,0.5058777404359189,-0.0663883695339857,398524080.7743627,425879437.0019443,0.6468992444806599,,,0.7632511247809213,,,1.1983059815558115,,
1989,0.5120514847640095,-0.054120727810698474,414139063.6171115,437170180.2117498,0.667871865706555,,,0.7856437072022772,,,1.2260079840993252,,
1990,0.5281944558828073,-0.03492273361222153,426131827.1681814,441276421.6097889,0.7098314491825367,,,0.8313161740355824,,,1.2855634060947967,,
1991,0.5305560746920318,-0.011528377399137152,431155582.08498156,436154867.8108701,0.7365556879166276,,,0.858583585095795,,,1.3148618093309423,,
1992,0.5567877581686683,0.05351200238535733,455297455.6584624,431573983.19422984,0.8385827414031797,,,0.9666439257819733,,,1.445481397807028,,
1993,0.55913857178413,0.0863962871215535,472729390.8235269,433601897.048529,0.8747816733371767,,,1.0033835448475266,,,1.4842427165818786,,
1994,0.5713528026029667,0.12714163018339622,472766986.4568106,416322836.2094231,0.9327490818535792,,,1.0641602264522616,,,1.5555236366908132,,
1995,0.576330955557983,0.15042466726886858,490326799.3641192,421849003.75937223,0.9630513146056245,,,1.0956074343839606,,,1.591252056163826,,
1996,0.5698968255688657,0.16135779347331855,500808175.28395003,426181516.5174917,0.9649123175254192,,,1.0959885874062583,,,1.5860998573954828,,
1997,0.5709432189792334,0.17057186775085373,518311345.03004736,437031050.40539956,0.9756018065115728,,,1.1069187468767965,,,1.5979299151989372,,
1998,0.5795071582790137,0.1983154548467282,538712660.4270433,441804234.84616625,1.0154205480201375,,,1.1487071944243106,,,1.6470833505442624,,
1999,0.5971238561842345,0.22460041821219107,559789196.3965057,447179401.45876384,1.0665450554319615,,,1.2038835423543355,,,1.7174100586727772,,
2000,0.5979151129253482,0.23334695771864353,582145960.4069183,460989031.39637077,1.0764072669433844,,,1.2139277429162145,,,1.728134740032014,,
2001,0.5981275651325759,0.25573451250790735,590161780.5667167,456990311.82191515,1.0990943793448393,,,1.2366637193253318,,,1.7510534253393473,,
2002,0.5942083747493817,0.28141471204715834,597011271.6433798,450573529.669394,1.1192485204437865,,,1.2559164466361443,,,1.7669356489206127,,
2003,0.587701338740017,0.3001004396068906,603087064.2954072,446733013.9457562,1.1287593272303145,,,1.2639306351405182,,,1.769353786456933,,
2004,0.5954758702671974,0.3124210533364358,613330603.1569382,448757681.5041688,1.1520420304131842,,,1.2890014805746395,,,1.8011107290044293,,
2005,0.6082607131078344,0.3125506442379652,625921508.4273268,457910766.9301986,1.1701982497200116,,,1.3100982137348134,,,1.833202427007551,,
2006,0.6113922733372438,0.32683025703588103,647804055.2291442,467200270.12087,1.1888933624413947,,,1.3295135853089608,,,1.8553109403789905,,
2007,0.6154606250434346,0.3617332625069981,670161652.7017679,466746224.4949697,1.2295327438182408,,,1.3710886875782307,,,1.9003848251155846,,
2008,0.6193133260997032,0.3998636138371586,683536662.646656,458250821.98177224,1.2730954036377402,,,1.415537468640672,,,1.9481469290864166,,
2009,0.625675200730142,0.4421605454767553,661803045.7871549,425305380.08665687,1.3243625785062556,,,1.4682678746741882,,,2.0063485473021103,,
2010,0.6380745615723544,0.46094837935422506,668770971.563469,421783975.98186505,1.3606335111712449,,,1.5073906603328862,,,2.056134783285111,,
2011,0.6315788992145656,0.4780627379206787,681308885.266761,422400130.52925587,1.368588985813216,,,1.5138521326325662,,,2.0570099859570927,,
2012,0.6441520136465417,0.5036243200773723,703082808.4634931,424898517.379225,1.411878659318996,,,1.5600336224577007,,,2.114004354193727,,
