degree_level,field,is_panel_total,total,closely,somewhat,not_related,share_closely,share_somewhat,share_not_related
All degrees,All degrees,True,56061000,30129000.0,15217000.0,10715000.0,0.5374324396639375,0.2714364709869606,0.19113108934910186
All degrees,S&E fields,False,17561000,8661000.0,5254000.0,3646000.0,0.4931951483400718,0.2991856955754228,0.20761915608450543
All degrees,"Biological, agricultural, and environmental life sciences",False,2732000,1318000.0,790000.0,624000.0,0.48243045387994143,0.2891654465592972,0.22840409956076135
All degrees,Agricultural and food sciences,False,372000,172000.0,123000.0,77000.0,0.46236559139784944,0.33064516129032256,0.20698924731182797
All degrees,Biological sciences,False,2022000,1020000.0,553000.0,449000.0,0.5044510385756676,0.2734915924826904,0.22205736894164194
All degrees,Environmental life sciences,False,338000,126000.0,114000.0,98000.0,0.3727810650887574,0.33727810650887574,0.28994082840236685
All degrees,Computer and mathematical sciences,False,3557000,2252000.0,916000.0,388000.0,0.6331177958954175,0.25752038234467245,0.10908068597132414
All degrees,Computer and information sciences,False,2775000,1868000.0,659000.0,249000.0,0.6731531531531532,0.23747747747747747,0.08972972972972973
All degrees,Mathematics and statistics,False,782000,385000.0,258000.0,139000.0,0.49232736572890023,0.329923273657289,0.17774936061381075
All degrees,Physical and related sciences,False,954000,479000.0,282000.0,194000.0,0.5020964360587002,0.29559748427672955,0.20335429769392033
All degrees,"Chemistry, except biochemistry",False,371000,202000.0,110000.0,59000.0,0.5444743935309974,0.29649595687331537,0.15902964959568733
All degrees,"Earth, atmospheric, and ocean sciences",False,301000,153000.0,68000.0,79000.0,0.5083056478405316,0.22591362126245848,0.26245847176079734
All degrees,Physics and astronomy,False,257000,111000.0,96000.0,49000.0,0.43190661478599224,0.3735408560311284,0.19066147859922178
All degrees,Other physical sciences,False,26000,12000.0,7000.0,6000.0,0.46153846153846156,0.2692307692307692,0.23076923076923078
All degrees,Social and related sciences,False,6043000,2076000.0,1963000.0,2004000.0,0.3435379778255833,0.32483865629654146,0.3316233658778752
All degrees,Economics,False,972000,312000.0,423000.0,237000.0,0.32098765432098764,0.4351851851851852,0.24382716049382716
