major,unemployment_rate,underemployment_rate,median_wage_early_career,median_wage_mid_career,share_with_graduate_degree
Criminal Justice,0.03557,0.6579,50000,80000,0.24609000000000003
Performing Arts,0.0695,0.63946,44000,75000,0.38366
Fine Arts,0.07655,0.5887,45000,72000,0.22475
Leisure and Hospitality,0.02734,0.5814900000000001,45000,75000,0.36146
Agriculture,0.01395,0.57098,56000,80000,0.22515999999999997
Anthropology,0.07922,0.5532699999999999,45000,65000,0.48200000000000004
Liberal Arts,0.03836,0.5459700000000001,45000,75000,0.309
Foreign Language,0.01579,0.54021,48000,77000,0.53138
Animal and Plant Sciences,0.025390000000000003,0.53538,46600,79000,0.36593000000000003
Communications,0.03856,0.53028,52000,88000,0.24652000000000002
Business Management,0.03786,0.52605,56000,82000,0.25274
Mass Media,0.05158,0.52125,50000,80000,0.19326000000000002
Sociology,0.04589000000000001,0.5203099999999999,49900,79000,0.39137
Biology,0.04292,0.5113,45000,83000,0.63983
Environmental Studies,0.06307,0.5052300000000001,50000,80000,0.31946
General Business,0.04314,0.50409,60000,90000,0.25271
History,0.04311,0.5007699999999999,47500,80000,0.51388
Ethnic Studies,0.04856,0.49554000000000004,52000,90000,0.51213
Marketing,0.04399,0.49343000000000004,60000,100000,0.19665
Miscellaneous Technologies,0.03597,0.49028,54000,96000,0.19516999999999998
Political Science,0.04482,0.48662,52000,100000,0.52741
English Language,0.061399999999999996,0.48544,48000,76000,0.46201000000000003
Nutrition Sciences,0.04536,0.48292999999999997,50000,70000,0.50561
Psychology,0.049850000000000005,0.48290999999999995,45000,72000,0.51864
Theology and Religion,0.03116,0.47464,41600,66000,0.46421999999999997
Philosophy,0.051230000000000005,0.47116,52000,80000,0.56853
Medical Technicians,0.06236,0.47029000000000004,62000,80000,0.24716000000000002
Miscellaneous Biological Science,0.044039999999999996,0.46851,46000,80000,0.5948599999999999
Family and Consumer Sciences,0.0429,0.45612,48000,65000,0.35703
Public Policy and Law,0.02237,0.45531999999999995,55000,80000,0.46963
Art History,0.06688,0.45263,45000,91000,0.47787999999999997
Interdisciplinary Studies,0.0394,0.45232,52000,80000,0.40358
International Affairs,0.06105000000000001,0.45163,64000,90000,0.46305999999999997
Health Services,0.03819,0.45127,50000,67000,0.52937
Engineering Technologies,0.0174,0.44365000000000004,65000,104000,0.27941
Journalism,0.02319,0.43256,49000,87000,0.26278
Geography,0.016,0.43009000000000003,50000,88000,0.34712000000000004
Chemistry,0.04325999999999999,0.42827,50000,86000,0.67479
Biochemistry,0.02685,0.42018,52000,100000,0.71939
Overall,0.04211,0.3935,58000,87000,0.39347
Treatment Therapy,0.026160000000000003,0.39066,50000,70000,0.53363
Advertising and Public Relations,0.056769999999999994,0.38076,60000,92000,0.22819
General Social Sciences,0.022559999999999997,0.38006999999999996,45200,75000,0.39332999999999996
Commercial Art & Graphic Design,0.05743,0.3714,50000,80000,0.13002
Economics,0.03524,0.33094,72000,115000,0.41595
Industrial Engineering,0.04151,0.31729,83000,100000,0.40607
Earth Sciences,0.03836,0.31355,50000,75000,0.45557000000000003
General Engineering,0.04536,0.31097,75000,105000,0.37058
Pharmacy,0.056159999999999995,0.30545,40000,85000,0.67369
Social Services,0.01943,0.30136,43000,60000,0.53784
Physics,0.06631000000000001,0.29112,67000,105000,0.67255
Business Analytics,0.050339999999999996,0.28668,72000,109000,0.26735
General Education,0.0263,0.2807,45000,56000,0.51683
Finance,0.02758,0.27758,70000,112000,0.31483
Miscellaneous Engineering,0.03686,0.26417999999999997,75000,105000,0.46305
Mathematics,0.057670000000000006,0.26225000000000004,70000,100000,0.51343
Architecture,0.06844,0.25669000000000003,60000,91000,0.40838
Information Systems & Management,0.05979,0.25637,67000,100000,0.27853
Miscellaneous Education,0.01089,0.24542999999999998,48000,60000,0.59923
Miscellaneous Physical Sciences,0.02522,0.22538,60000,81000,0.54031
Early Childhood Education,0.06593,0.22277999999999998,45000,52000,0.43765
Secondary Education,0.021150000000000002,0.21677,45300,62000,0.52733
Accounting,0.02553,0.21156,68000,97000,0.33667
Electrical Engineering,0.03159,0.21106000000000003,82000,123000,0.4767
Mechanical Engineering,0.04364,0.20088,80000,120000,0.39059
Computer Science,0.06992,0.19127,87000,120000,0.32691000000000003
Construction Services,0.021840000000000002,0.17933,75000,120000,0.12214
Chemical Engineering,0.047110000000000006,0.17861999999999997,85000,135000,0.48111
Elementary Education,0.0118,0.16213,45000,55000,0.50596
Special Education,0.00739,0.16042,46000,56000,0.6109100000000001
Computer Engineering,0.07783000000000001,0.15835000000000002,90000,131000,0.39432
Civil Engineering,0.022559999999999997,0.15567,75000,115000,0.37138
Aerospace Engineering,0.02176,0.14709,85000,130000,0.45525
Nursing,0.02147,0.12781,70000,87000,0.30292
