Major,Unemployment Rate,Underemployment Rate,Median Wage Early Career,Median Wage Mid-Career,Share with Graduate Degree
Agriculture,1.395,57.098,56000,80000,22.516
Animal and Plant Sciences,2.539,53.538,46600,79000,36.593
Environmental Studies,6.307,50.523,50000,80000,31.946
Architecture,6.844,25.669,60000,91000,40.838
Ethnic Studies,4.856,49.554,52000,90000,51.213
Communications,3.856,53.028,52000,88000,24.652
Journalism,2.319,43.256,49000,87000,26.278
Mass Media,5.158,52.125,50000,80000,19.326
Advertising and Public Relations,5.677,38.076,60000,92000,22.819
Information Systems & Management,5.979,25.637,67000,100000,27.853
Computer Science,6.992,19.127,87000,120000,32.691
General Education,2.63,28.07,45000,56000,51.683
Early Childhood Education,6.593,22.278,45000,52000,43.765
Elementary Education,1.18,16.213,45000,55000,50.596
Secondary Education,2.115,21.677,45300,62000,52.733
Special Education,0.739,16.042,46000,56000,61.091
Miscellaneous Education,1.089,24.543,48000,60000,59.923
General Engineering,4.536,31.097,75000,105000,37.058
Aerospace Engineering,2.176,14.709,85000,130000,45.525
Chemical Engineering,4.711,17.862,85000,135000,48.111
Civil Engineering,2.256,15.567,75000,115000,37.138
Computer Engineering,7.783,15.835,90000,131000,39.432
Electrical Engineering,3.159,21.106,82000,123000,47.67
Industrial Engineering,4.151,31.729,83000,100000,40.607
Mechanical Engineering,4.364,20.088,80000,120000,39.059
Miscellaneous Engineering,3.686,26.418,75000,105000,46.305
Foreign Language,1.579,54.021,48000,77000,53.138
Family and Consumer Sciences,4.29,45.612,48000,65000,35.703
English Language,6.14,48.544,48000,76000,46.201
Liberal Arts,3.836,54.597,45000,75000,30.9
Biology,4.292,51.13,45000,83000,63.983
Biochemistry,2.685,42.018,52000,100000,71.939
Miscellaneous Biological Science,4.404,46.851,46000,80000,59.486
Mathematics,5.767,26.225,70000,100000,51.343
Interdisciplinary Studies,3.94,45.232,52000,80000,40.358
Nutrition Sciences,4.536,48.293,50000,70000,50.561
Leisure and Hospitality,2.734,58.149,45000,75000,36.146
Philosophy,5.123,47.116,52000,80000,56.853
Theology and Religion,3.116,47.464,41600,66000,46.422
Chemistry,4.326,42.827,50000,86000,67.479
Earth Sciences,3.836,31.355,50000,75000,45.557
Physics,6.631,29.112,67000,105000,67.255
Miscellaneous Physical Sciences,2.522,22.538,60000,81000,54.031
Psychology,4.985,48.291,45000,72000,51.864
Criminal Justice,3.557,65.79,50000,80000,24.609
Public Policy and Law,2.237,45.532,55000,80000,46.963
Social Services,1.943,30.136,43000,60000,53.784
Anthropology,7.922,55.327,45000,65000,48.2
Economics,3.524,33.094,72000,115000,41.595
Geography,1.6,43.009,50000,88000,34.712
Political Science,4.482,48.662,52000,100000,52.741
Sociology,4.589,52.031,49900,79000,39.137
General Social Sciences,2.256,38.007,45200,75000,39.333
Construction Services,2.184,17.933,75000,120000,12.214
Art History,6.688,45.263,45000,91000,47.788
Fine Arts,7.655,58.87,45000,72000,22.475
Performing Arts,6.95,63.946,44000,75000,38.366
Commercial Art & Graphic Design,5.743,37.14,50000,80000,13.002
Health Services,3.819,45.127,50000,67000,52.937
Medical Technicians,6.236,47.029,62000,80000,24.716
Nursing,2.147,12.781,70000,87000,30.292
Pharmacy,5.616,30.545,40000,85000,67.369
Treatment Therapy,2.616,39.066,50000,70000,53.363
General Business,4.314,50.409,60000,90000,25.271
Accounting,2.553,21.156,68000,97000,33.667
Business Management,3.786,52.605,56000,82000,25.274
Business Analytics,5.034,28.668,72000,109000,26.735
Marketing,4.399,49.343,60000,100000,19.665
Finance,2.758,27.758,70000,112000,31.483
International Affairs,6.105,45.163,64000,90000,46.306
History,4.311,50.077,47500,80000,51.388
Engineering Technologies,1.74,44.365,65000,104000,27.941
Miscellaneous Technologies,3.597,49.028,54000,96000,19.517
Overall,4.211,39.35,58000,87000,39.347
