"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2024","A","",160887,2105674,130644817070,17554073127,89349231,1193,62044,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4418,2.8,29889,1.4,6545101020,5.3,-83727320,-0.5,-23329961,-20.7,43,3.7,2260,3.8
"01000","1","10","51","0","2024","A","",1269,58132,5856068155,0,0,1937,100738,"",1.55,1.43,1.72,0.00,0.00,1.20,1.20,"",6,0.5,1221,2.1,317386867,5.7,0,0.0,0,0.0,65,3.5,3417,3.5
"01000","2","10","51","0","2024","A","",1426,105485,7267592114,398005,996,1325,68897,"",1.47,1.61,1.67,0.00,0.01,1.04,1.04,"",-13,-0.9,6021,6.1,622307519,9.4,63851,19.1,328,49.1,40,3.1,2086,3.1
"01000","3","10","51","0","2024","A","",3792,224583,12340690187,157683519,558728,1057,54949,"",1.65,1.13,1.15,0.62,1.15,1.01,1.01,"",38,1.0,5333,2.4,721772525,6.2,9467074,6.4,32420,6.2,38,3.7,1955,3.7
"01000","5","10","51","0","2024","A","",154400,1717475,105180466614,17395991603,88789507,1178,61241,"",0.98,0.95,0.94,1.01,1.00,0.98,0.98,"",4386,2.9,17315,1.0,4883634109,4.9,-93258245,-0.5,-23362709,-20.8,44,3.9,2248,3.8
"01000","8","10","96","0","2024","A","",6487,388199,25464350456,158081524,559724,1261,65596,"",1.59,1.27,1.38,0.45,1.01,1.08,1.08,"",32,0.5,12574,3.3,1661466911,7.0,9530925,6.4,32748,6.2,42,3.4,2227,3.5
"01001","0","10","70","0","2024","A","",1120,12383,629398983,92910305,482044,977,50826,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,4.4,512,4.3,37848914,6.4,2796820,3.1,-160170,-24.9,19,2.0,994,2.0
"01001","1","10","71","0","2024","A","",11,97,6727907,0,0,1336,69479,"",1.93,0.40,0.41,0.00,0.00,1.01,1.01,"",0,0.0,-1,-1.0,353701,5.5,0,0.0,0,0.0,81,6.5,4214,6.5
"01001","2","10","71","0","2024","A","",20,658,35330335,0,0,1033,53714,"",2.95,1.71,1.69,0.00,0.00,0.99,0.99,"",0,0.0,86,15.0,-318717,-0.9,0,0.0,0,0.0,-165,-13.8,-8573,-13.8
"01001","3","10","71","0","2024","A","",32,1912,95335400,164077,328,959,49872,"",2.00,1.64,1.84,0.12,0.13,1.12,1.12,"",0,0.0,41,2.2,138341,0.1,20077,13.9,40,13.9,-19,-1.9,-1006,-2.0
"01001","5","10","71","0","2024","A","",1057,9717,492005341,92746228,481716,974,50632,"",0.97,0.92,0.91,1.02,1.01,0.99,0.99,"",46,4.5,387,4.1,37675589,8.3,2776743,3.1,-160210,-25.0,38,4.1,1936,4.0
"01003","0","10","70","0","2024","A","",8757,85118,4354332805,765608598,3975529,984,51157,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",455,5.5,2354,2.8,312391382,7.7,18913246,2.5,-570118,-12.5,45,4.8,2320,4.8
"01003","1","10","71","0","2024","A","",36,402,30674751,0,0,1468,76321,"",0.81,0.24,0.27,0.00,0.00,1.11,1.11,"",1,2.9,4,1.0,2019366,7.0,0,0.0,0,0.0,82,5.9,4262,5.9
"01003","2","10","71","0","2024","A","",36,1090,59526052,0,0,1050,54599,"",0.68,0.41,0.41,0.00,0.00,1.00,1.00,"",-2,-5.3,14,1.3,5361190,9.9,0,0.0,0,0.0,82,8.5,4279,8.5
"01003","3","10","71","0","2024","A","",96,9809,537354568,9329652,64007,1053,54780,"",0.77,1.22,1.50,0.84,2.96,1.23,1.23,"",4,4.3,386,4.1,51583556,10.6,1842582,24.6,47334,283.9,62,6.3,3230,6.3
"01003","5","10","71","0","2024","A","",8590,73816,3726777434,756278946,3911522,971,50487,"",1.01,1.01,1.00,1.01,0.99,0.98,0.98,"",453,5.6,1949,2.7,253427270,7.3,17070664,2.3,-617452,-13.6,42,4.5,2157,4.5
"01005","0","10","70","0","2024","A","",595,7711,351548790,62928690,357660,877,45590,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.7,9,0.1,14833687,4.4,-2060606,-3.2,-58396,-14.0,36,4.3,1871,4.3
"01005","1","10","71","0","2024","A","",9,51,3321292,0,0,1261,65552,"",2.98,0.34,0.36,0.00,0.00,1.07,1.07,"",0,0.0,-4,-7.3,-149565,-4.3,0,0.0,0,0.0,55,4.6,2826,4.5
"01005","2","10","71","0","2024","A","",18,473,28846681,0,0,1172,60944,"",5.00,1.97,2.47,0.00,0.00,1.25,1.25,"",-1,-5.3,5,1.1,2355858,8.9,0,0.0,0,0.0,83,7.6,4299,7.6
"01005","3","10","71","0","2024","A","",31,951,44933738,783846,3407,909,47270,"",3.65,1.31,1.55,0.86,1.75,1.19,1.19,"",1,3.3,-1,-0.1,2389713,5.6,63285,8.8,1815,114.0,50,5.8,2593,5.8
"01005","5","10","71","0","2024","A","",537,6237,274447079,62144844,354253,846,44006,"",0.93,0.95,0.91,1.01,1.00,0.96,0.96,"",4,0.8,10,0.2,10237681,3.9,-2123891,-3.3,-60211,-14.5,30,3.7,1573,3.7
"01007","0","10","70","0","2024","A","",445,4828,256159162,36758566,215278,1020,53062,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,2.8,13,0.3,9302229,3.8,-248583,-0.7,-50691,-19.1,34,3.4,1794,3.5
"01007","1","10","71","0","2024","A","",9,66,5816232,0,0,1688,87792,"",3.98,0.71,0.87,0.00,0.00,1.23,1.23,"",0,0.0,-1,-1.5,721979,14.2,0,0.0,0,0.0,235,16.2,12228,16.2
"01007","2","10","71","0","2024","A","",12,211,14458190,0,0,1318,68549,"",4.46,1.41,1.70,0.00,0.00,1.21,1.21,"",-1,-7.7,29,15.9,3099198,27.3,0,0.0,0,0.0,114,9.5,5965,9.5
"01007","3","10","71","0","2024","A","",30,1022,44161699,573947,1147,831,43218,"",4.72,2.25,2.09,1.08,0.98,0.93,0.93,"",-1,-3.2,-15,-1.4,1686374,4.0,-109407,-16.0,-220,-16.1,43,5.5,2248,5.5
"01007","5","10","71","0","2024","A","",393,3528,191723041,36184619,214131,1045,54336,"",0.91,0.85,0.87,1.00,1.00,1.02,1.02,"",13,3.4,-1,0.0,3794678,2.0,-139176,-0.4,-50471,-19.1,21,2.1,1088,2.0
"01009","0","10","70","0","2024","A","",956,9094,415451995,65983712,329757,879,45687,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,2.6,237,2.7,28576732,7.4,1907210,3.0,-18751,-5.4,39,4.6,2008,4.6
"01009","1","10","71","0","2024","A","",10,79,5289121,0,0,1285,66810,"",2.06,0.45,0.49,0.00,0.00,1.08,1.08,"",0,0.0,-4,-4.8,112875,2.2,0,0.0,0,0.0,84,7.0,4383,7.0
"01009","2","10","71","0","2024","A","",12,145,7259752,0,0,960,49924,"",2.08,0.51,0.53,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,629591,9.5,0,0.0,0,0.0,82,9.3,4277,9.4
"01009","3","10","71","0","2024","A","",43,1890,85000433,1097511,2155,865,44974,"",3.15,2.21,2.49,1.15,1.20,1.13,1.13,"",0,0.0,-6,-0.3,3528930,4.3,-40666,-3.6,-74,-3.3,38,4.6,1994,4.6
"01009","5","10","71","0","2024","A","",892,6979,317902689,64886201,327602,876,45552,"",0.96,0.90,0.89,1.00,1.00,0.99,0.99,"",25,2.9,245,3.6,24305336,8.3,1947876,3.1,-18677,-5.4,37,4.4,1950,4.5
"01011","0","10","70","0","2024","A","",208,2788,141348488,22852048,142653,975,50696,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.4,49,1.8,9497769,7.2,-1271818,-5.3,-106324,-42.7,49,5.3,2555,5.3
"01011","1","10","71","0","2024","A","",6,30,2102615,0,0,1348,70087,"",5.68,0.56,0.57,0.00,0.00,1.03,1.03,"",0,0.0,-2,-6.2,30522,1.5,0,0.0,0,0.0,86,6.8,4480,6.8
"01011","2","10","71","0","2024","A","",11,176,13812498,0,0,1507,78369,"",8.74,2.03,2.94,0.00,0.00,1.45,1.45,"",1,10.0,13,8.0,2158044,18.5,0,0.0,0,0.0,134,9.8,6979,9.8
"01011","3","10","71","0","2024","A","",15,321,14692951,0,0,880,45772,"",5.05,1.22,1.26,0.00,0.00,1.03,1.03,"",0,0.0,-2,-0.6,354017,2.5,0,0.0,0,0.0,25,2.9,1333,3.0
"01011","5","10","71","0","2024","A","",177,2261,110740424,22852048,142653,942,48980,"",0.87,0.95,0.91,1.02,1.01,0.96,0.96,"",-3,-1.7,40,1.8,6955186,6.7,-1271818,-5.3,-106324,-42.7,43,4.8,2258,4.8
"01013","0","10","70","0","2024","A","",526,6789,311782724,59638469,313950,883,45927,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-3.5,-159,-2.3,8304980,2.7,-2226554,-3.6,-209414,-40.0,43,5.1,2246,5.1
"01013","1","10","71","0","2024","A","",6,40,2322102,0,0,1128,58664,"",2.25,0.30,0.29,0.00,0.00,0.95,0.95,"",0,0.0,-1,-2.4,93149,4.2,0,0.0,0,0.0,72,6.8,3741,6.8
"01013","2","10","71","0","2024","A","",12,94,5189969,0,0,1057,54969,"",3.77,0.45,0.50,0.00,0.00,1.12,1.12,"",0,0.0,5,5.6,145962,2.9,0,0.0,0,0.0,-30,-2.8,-1546,-2.7
