"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"US000","0","10","10","0","2024","A","",12057370,154990441,11714940541109,2120711766214,35127534278,1454,75585,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",191064,1.6,1849542,1.2,633672925639,5.7,60661740676,2.9,1193444972,3.5,62,4.5,3225,4.5
"US000","1","10","11","0","2024","A","",61242,3001207,305932721377,0,0,1960,101937,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-68,-0.1,71269,2.4,19167977139,6.7,0,0.0,0,0.0,78,4.1,4063,4.2
"US000","1","101","12","0","2024","A","",162,53408,5424077815,0,0,1953,101560,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",12,8.0,1251,2.4,309563734,6.1,0,0.0,0,0.0,67,3.6,3500,3.6
"US000","1","1011","13","0","2024","A","",75,3976,379415904,0,0,1835,95417,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,225,6.0,46956683,14.1,0,0.0,0,0.0,131,7.7,6791,7.7
"US000","1","1012","13","0","2024","A","",4,27,4334722,0,0,3107,161542,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,300.0,22,440.0,3562051,461.0,0,0.0,0,0.0,-77,-2.4,-4030,-2.4
"US000","1","1013","13","0","2024","A","",83,49404,5040327189,0,0,1962,102022,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,12.2,1003,2.1,259045000,5.4,0,0.0,0,0.0,62,3.3,3237,3.3
"US000","1","102","12","0","2024","A","",61080,2947800,300508643562,0,0,1960,101943,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-81,-0.1,70019,2.4,18858413405,6.7,0,0.0,0,0.0,78,4.1,4072,4.2
"US000","1","1021","13","0","2024","A","",30796,669478,48094643321,0,0,1382,71839,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",206,0.7,-1082,-0.2,635227542,1.3,0,0.0,0,0.0,21,1.5,1063,1.5
"US000","1","1022","13","0","2024","A","",150,6674,657584463,0,0,1895,98527,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.7,99,1.5,40466974,6.6,0,0.0,0,0.0,90,5.0,4669,5.0
"US000","1","1023","13","0","2024","A","",829,13168,1985286115,0,0,2899,150761,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,1.1,481,3.8,187297036,10.4,0,0.0,0,0.0,174,6.4,9038,6.4
