source,jurisdiction,year,list_type,category,item,item_en,ref,sector_map,url
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Chemical,Chemical,NSM-22 sector list,manufacturing,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Commercial Facilities,Commercial Facilities,NSM-22 sector list,retail_leisure,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Communications,Communications,NSM-22 sector list,communications_it,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Critical Manufacturing,Critical Manufacturing,NSM-22 sector list,manufacturing,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Dams,Dams,NSM-22 sector list,water;energy,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Defense Industrial Base,Defense Industrial Base,NSM-22 sector list,defense_public_safety;manufacturing,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Emergency Services,Emergency Services,NSM-22 sector list,defense_public_safety,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Energy,Energy,NSM-22 sector list,energy,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Financial Services,Financial Services,NSM-22 sector list,finance_insurance,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Food and Agriculture,Food and Agriculture,NSM-22 sector list,food_agriculture,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Government Services and Facilities,Government Services and Facilities,NSM-22 sector list,government_admin,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Healthcare and Public Health,Healthcare and Public Health,NSM-22 sector list,health_social_care,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Information Technology,Information Technology,NSM-22 sector list,communications_it,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,"Nuclear Reactors, Materials, and Waste","Nuclear Reactors, Materials, and Waste",NSM-22 sector list,energy,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Transportation Systems,Transportation Systems,NSM-22 sector list,transport_logistics,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NSM-22 critical infrastructure sectors,US,2024,essential_services,critical infrastructure sector,Water and Wastewater Systems,Water and Wastewater Systems,NSM-22 sector list,water,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/2024/04/30/national-security-memorandum-on-critical-infrastructure-security-and-resilience/
NATO seven baseline requirements,NATO,2016,essential_services,baseline resilience requirement,Assured continuity of government and critical government services,Assured continuity of government and critical government services,Resilience & civil preparedness topic page,government_admin,https://www.nato.int/cps/en/natohq/topics_132722.htm
