sector,wagebill_usd,wagebill_share,employment,emp_share,crisis_sources,crisis_items,degrees,degrees_share
energy,162493751502.0,0.013870642444303645,1212579.0,0.007823572860364806,7,39,35923.8,0.01782787892021727
government_admin,410309266918.0,0.03502444297332796,5296614.0,0.03417381097827711,7,20,18936.5,0.00939760351557169
defense_public_safety,251731154396.0,0.021488043709026777,2550137.0,0.016453511584327396,7,38,58503.0,0.029033242598763793
health_social_care,1615521685912.0,0.13790267908257484,24311493.0,0.15685801653314876,6,22,475819.5,0.23613460808373055
transport_logistics,514449847298.0,0.043913995593297256,7532742.0,0.04860133308867308,6,22,10221.0,0.005072368470026575
food_agriculture,167866134999.0,0.01432923491245555,3026290.0,0.019525655904970653,6,19,40675.0,0.020185753597332056
water,18728925479.0,0.0015987213433374386,230880.0,0.001489640264264041,6,19,0.0,0.0
communications_it,759702008436.0,0.06484898542763602,4506426.0,0.029075509431420416,6,31,144510.4,0.07171607441061817
finance_insurance,904412469161.0,0.07720162692992921,6327482.0,0.04082498249569457,5,8,156720.2,0.07777542325567546
manufacturing,984799028651.0,0.08406351062519124,11017216.0,0.07108319713138436,4,9,60261.8,0.029906081035813274
construction_housing,859226600579.0,0.07334451229725669,10759521.0,0.06942054619626863,3,8,37746.4,0.01873237933832415
media_arts_culture,293646588774.0,0.02506599053947924,3938344.0,0.02541023820565965,3,4,176284.0,0.08748433650035856
education_research,1016302992919.0,0.08675272310198096,14143209.0,0.09125213787379402,2,2,185362.6,0.09198976692712534
professional_business,1787021828751.0,0.15254211683620128,19333092.0,0.1247373192824022,1,1,227472.8,0.11288776621746023
retail_leisure,1949525382502.0,0.16641359601108546,40548417.0,0.26161882629664124,1,1,52776.0,0.02619110834303126
