,value
gdp,30762.099
gce,5275.101
gpdi,5458.629
pce,20954.857
soc,4845.13
ptax,3233.753
contribs,2019.052
wages,12958.65
suppl,2768.254
cfc,5065.0435
corp,4077.462
proptax,789.38975
fctax,497.288
mortg,13643.44775
fed_debt,37144.33502908852
ss,1572.799
medicare,1221.275
medicaid,1010.708
N,341944000.0
P_s_pc4,8218.962336531802
P_s_single,16185.680304678997
rT_median,1185.4528686458334
land_hh_residual,23513.11475
hh_real_estate,52151.1475
hh_structures,28638.03275
gs10,4.291666666666667
year,2025.0
