floor,reinvest_s,wage_share,kappa,land_share,nonland_share,source_tax_rate,source_yield,public_invest_Gi,vat_incl,vat_excl,surplus,consumption_pp,ubi_pp
pc4,1.0,0.55,0.33,0.0301,0.4199,0.0473,0.0199,0.0,0.2828,0.3943,0.0,53977,8219
pc4,1.0,0.45,0.5,0.0457,0.5043,0.2069,0.1043,0.0,0.1503,0.1769,0.0,53977,8219
pc4,1.0,0.35,0.75,0.0685,0.5815,0.3121,0.1815,0.0,0.0,0.0,0.0186,53977,8219
pc4,1.0,0.25,1.0,0.0914,0.6586,0.3927,0.2586,0.0,0.0,0.0,0.1186,53977,8219
pc4,1.0,0.15,1.26,0.1151,0.7349,0.4557,0.3349,0.0,0.0,0.0,0.2186,53977,8219
pc4,0.5,0.55,0.33,0.0301,0.4199,0.0,0.0,0.1901,0.4596,0.8506,0.0,53977,8219
pc4,0.5,0.45,0.5,0.0457,0.5043,0.0,0.0,0.1478,0.4203,0.725,0.0,53977,8219
pc4,0.5,0.35,0.75,0.0685,0.5815,0.0,0.0,0.1093,0.3717,0.5915,0.0,53977,8219
pc4,0.5,0.25,1.0,0.0914,0.6586,0.0,0.0,0.0707,0.3141,0.458,0.0,53977,8219
pc4,0.5,0.15,1.26,0.1151,0.7349,0.0,0.0,0.0326,0.2444,0.3235,0.0,53977,8219
single,1.0,0.55,0.33,0.0301,0.4199,0.0473,0.0199,0.0,0.3698,0.5868,0.0,53977,16186
single,1.0,0.45,0.5,0.0457,0.5043,0.2069,0.1043,0.0,0.2697,0.3694,0.0,53977,16186
single,1.0,0.35,0.75,0.0685,0.5815,0.3121,0.1815,0.0,0.1319,0.152,0.0,53977,16186
single,1.0,0.25,1.0,0.0914,0.6586,0.3927,0.2586,0.0,0.0,0.0,0.0301,53977,16186
single,1.0,0.15,1.26,0.1151,0.7349,0.4557,0.3349,0.0,0.0,0.0,0.1301,53977,16186
single,0.5,0.55,0.33,0.0301,0.4199,0.0,0.0,0.1901,0.5106,1.0431,0.0,53977,16186
single,0.5,0.45,0.5,0.0457,0.5043,0.0,0.0,0.1478,0.4785,0.9176,0.0,53977,16186
single,0.5,0.35,0.75,0.0685,0.5815,0.0,0.0,0.1093,0.4395,0.784,0.0,53977,16186
single,0.5,0.25,1.0,0.0914,0.6586,0.0,0.0,0.0707,0.3941,0.6505,0.0,53977,16186
single,0.5,0.15,1.26,0.1151,0.7349,0.0,0.0,0.0326,0.3404,0.516,0.0,53977,16186
