floor,kappa,base_efficiency,carries,need_B,vat_excl,vat_incl
pc4,0.422,1.0,ubi_residual,1625,0.0775,0.072
pc4,0.422,1.0,ubi_residual+G_purchases,6900,0.3293,0.2477
pc4,0.422,1.0,ubi_residual+G+half_benefits,9323,0.4449,0.3079
pc4,0.422,0.6,ubi_residual,1625,0.1292,0.1145
pc4,0.422,0.6,ubi_residual+G_purchases,6900,0.5488,0.3543
pc4,0.422,0.6,ubi_residual+G+half_benefits,9323,0.7415,0.4258
pc4,0.5,1.0,ubi_residual,1405,0.0671,0.0628
pc4,0.5,1.0,ubi_residual+G_purchases,6680,0.3188,0.2417
pc4,0.5,1.0,ubi_residual+G+half_benefits,9103,0.4344,0.3028
pc4,0.5,0.6,ubi_residual,1405,0.1118,0.1005
pc4,0.5,0.6,ubi_residual+G_purchases,6680,0.5313,0.347
pc4,0.5,0.6,ubi_residual+G+half_benefits,9103,0.724,0.42
pc4,0.75,1.0,ubi_residual,703,0.0335,0.0324
pc4,0.75,1.0,ubi_residual+G_purchases,5978,0.2853,0.222
pc4,0.75,1.0,ubi_residual+G+half_benefits,8400,0.4009,0.2862
pc4,0.75,0.6,ubi_residual,703,0.0559,0.0529
pc4,0.75,0.6,ubi_residual+G_purchases,5978,0.4754,0.3222
pc4,0.75,0.6,ubi_residual+G+half_benefits,8400,0.6681,0.4005
pc4,1.0,1.0,ubi_residual,0,0.0,0.0
pc4,1.0,1.0,ubi_residual+G_purchases,5275,0.2517,0.2011
pc4,1.0,1.0,ubi_residual+G+half_benefits,7698,0.3673,0.2687
pc4,1.0,0.6,ubi_residual,0,0.0,0.0
pc4,1.0,0.6,ubi_residual+G_purchases,5275,0.4196,0.2956
pc4,1.0,0.6,ubi_residual+G+half_benefits,7698,0.6122,0.3797
single,0.214,1.0,ubi_residual,4349,0.2075,0.1719
single,0.214,1.0,ubi_residual+G_purchases,9624,0.4593,0.3147
single,0.214,1.0,ubi_residual+G+half_benefits,12047,0.5749,0.365
single,0.214,0.6,ubi_residual,4349,0.3459,0.257
single,0.214,0.6,ubi_residual+G_purchases,9624,0.7655,0.4336
single,0.214,0.6,ubi_residual+G+half_benefits,12047,0.9582,0.4893
single,0.5,1.0,ubi_residual,2767,0.1321,0.1167
single,0.5,1.0,ubi_residual+G_purchases,8042,0.3838,0.2774
single,0.5,1.0,ubi_residual+G+half_benefits,10465,0.4994,0.3331
single,0.5,0.6,ubi_residual,2767,0.2201,0.1804
single,0.5,0.6,ubi_residual+G_purchases,8042,0.6397,0.3901
single,0.5,0.6,ubi_residual+G+half_benefits,10465,0.8323,0.4543
single,0.75,1.0,ubi_residual,1384,0.066,0.0619
single,0.75,1.0,ubi_residual+G_purchases,6659,0.3178,0.2411
single,0.75,1.0,ubi_residual+G+half_benefits,9081,0.4334,0.3023
single,0.75,0.6,ubi_residual,1384,0.11,0.0991
single,0.75,0.6,ubi_residual+G_purchases,6659,0.5296,0.3462
single,0.75,0.6,ubi_residual+G+half_benefits,9081,0.7223,0.4194
single,1.0,1.0,ubi_residual,0,0.0,0.0
single,1.0,1.0,ubi_residual+G_purchases,5275,0.2517,0.2011
single,1.0,1.0,ubi_residual+G+half_benefits,7698,0.3673,0.2687
single,1.0,0.6,ubi_residual,0,0.0,0.0
single,1.0,0.6,ubi_residual+G_purchases,5275,0.4196,0.2956
single,1.0,0.6,ubi_residual+G+half_benefits,7698,0.6122,0.3797
n/a,0.422,1.0,swap: replace personal taxes+contributions with LVT+VAT,4067,0.1941,0.1625
n/a,0.422,0.6,swap: replace personal taxes+contributions with LVT+VAT,4067,0.3235,0.2444
